transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T3127,U023,2021-05-22,Expense,FOOD,5107.0,upi,Unknown,Shopping
T4949,U101,03-01-23,Expense,Foodd,3865.0,BankTransfer,JAI,No Notes
T3563,U007,05-05-21,Expense,Travel,2407.0,CRD,CHE,Internet bill
T10891,U055,09/08/2024,Expense,Food,3085.0,CARD,JAIPUR,Electricity bill
T10872,U080,2023-02-22,Expense,HEALTH,5252.0,,Delhi,Online course
T6786,U017,12/15/2022,Expense,rent,1380.0,Bank Transfr,hyderabad,Train ticket
T3396,U136,22-09-2021,Expense,RENT,7619.0,csh,pune,Movie tickets
T1215,U150,29-12-23,Expense,Others,4823.0,Cash,Ahmedabad,...
T5293,U044,23-02-21,Expense,Helth,8497.0,,KOLKATA,Gym membership
T12220,U122,11/14/2023,Expense,Foods,999999.0,UPi,LUC,No Notes
T2003,U149,04/15/2021,Expense,Travel,8241.0,upi,Unknown,Movie tickets
T9452,U062,24-09-23,Expense,rent,8579.0,bank transfer,AHMEDABAD,...
T4924,U082,05/25/2022,Expense,Foods,235.0,card,CHENNAI,ATM withdrawal
T11911,U069,22-06-2023,Expense,Foodd,1263.0,upi,lucknow,No Notes
T11270,U022,2023-08-09,Expense,HEALTH,2134.0,Bank Transfr,JAI,Books
T13032,U150,06/19/2021,Expense,Education,2228.0,Cash,DELHI,Movie tickets
T6095,U110,2024-01-11,Expense,RENT,4641.0,BankTransfer,delhi,ATM withdrawal
T0361,U055,2023-08-16,Expense,utilities,1081.0,CRD,PUNE,No Notes
T7314,U103,26-02-2022,Expense,entertainment,371.0,Csh,MUM,Uber ride
T11430,U108,07/10/2021,Expense,Food,225.0,Crd,Pune,!!!
T12663,U052,04/15/2023,Expense,Rent,23776.0,Upi,Bangalore,Doctor consultation
T6106,U008,23-04-23,Expense,HEALTH,6707.0,card,DELHI,No Notes
T9628,U096,22-03-24,Expense,Fod,8380.0,Bank Transfer,hyderabad,No Notes
T1623,U017,04/10/2021,Expense,Utlities,601.0,bank transfer,JAIPUR,Medicine
T13765,U034,09/05/2024,Expense,Others,3219.0,csh,hyderabad,Internet bill
T5930,U011,04/21/2024,Expense,savings,8111.0,,DEL,Grocery shopping
T1627,U069,04/18/2022,Expense,Utilties,5554.0,Bank Transfer,HYDERABAD,EMI payment
T4242,U053,2024-08-15,Income,Salary,41573.0,Bank Transfr,mumbai,Coffee
T12437,U004,12-01-2024,Expense,EDU,3110.0,BankTransfer,chennai,Doctor consultation
T8670,U030,25-07-24,Expense,Foodd,4277.0,Crd,PUNE,Train ticket
T11341,U127,17-01-24,Expense,Foods,3047.0,CRD,Mumbai,Grocery shopping
T9556,U008,2024-06-27,Income,Freelance,10183.0,,DELHI,No Notes
T2449,U028,04/16/2022,Expense,Travel,9888.0,bank transfer,DEL,Shopping
T4357,U088,07/03/2024,Expense,Rentt,7217.0,cash,DELHI,Internet bill
T0815,U141,2021-10-05,Expense,Education,9725.0,Bank Transfr,CHE,Restaurant dinner
T7919,U086,2023-05-27,Expense,entertainment,9648.0,Bank Transfr,kolkata,!!!
T5695,U061,2023-10-22,Expense,Traval,1643.0,CARD,Mumbai,Petrol
T2471,U066,12/23/2021,Expense,Education,7397.0,Csh,DEL,test
T3475,U046,2022-12-10,Income,Freelance,70075.0,Upi,Kolkata,Gym membership
T5875,U081,2021-10-31,Expense,Foods,864.0,Bank Transfr,Mumbai,Shopping
T10128,U104,2024-09-06,Expense,,6228.0,Cash,hyderabad,No Notes
T3491,U061,04/10/2024,Expense,Educaton,1206.0,cash,Ahmedabad,Shopping
T2225,U028,2023-07-06,Expense,Education,8204.0,CRD,Unknown,!!!
T6946,U068,06/23/2024,Expense,EDU,5756.0,UPI,HYDERABAD,xyz123
T2022,U056,12/20/2021,Expense,food,5576.0,BankTransfer,DEL,Medicine
T13529,U123,2021-11-05,Expense,health,9771.0,Bank_Transfer,Pune,Petrol
T12210,U118,2022-01-25,Expense,Rentt,20509.0,Bank Transfr,bangalore,Train ticket
T6904,U063,2024-09-13,Income,Bonus,62193.0,Upi,CHE,Electricity bill
T0713,U055,2023-08-22,Expense,Utility,3367.0,Bank_Transfer,Ahmedabad,Monthly rent payment
T7323,U009,2024-05-13,Expense,health,2721.0,Upi,BANGALORE,EMI payment
T10231,U089,02/13/2023,Expense,rent,2962.0,Upi,ahmedabad,Books
T11570,U052,2022-09-23,Expense,travel,8283.0,card,AHMEDABAD,...
T13926,U134,2024-09-16,Expense,Utilities,3520.0,csh,MUMBAI,test
T0884,U115,04/07/2024,Expense,Travel,5524.0,Bank Transfer,Hyderabad,Fixed deposit
T5033,U119,2021-12-18,Expense,Traval,999999.0,upi,pune,Lunch
T8492,U101,11/14/2024,Expense,Entertainment,1800.0,Bank Transfer,ahmedabad,Internet bill
T4699,U090,08/07/2023,Income,Investment,32146.0,CASH,Delhi,ATM withdrawal
T1841,U097,03/10/2021,Income,Others,57173.0,Cash,Unknown,No Notes
T3041,U018,2021-07-11,Expense,Rnt,2966.0,Cash,bangalore,EMI payment
T7693,U116,31-08-24,Expense,Entertain,1004.0,Bank Transfer,KOLKATA,No Notes
T0071,U078,2024-04-26,Expense,Rnt,6141.0,csh,Pune,No Notes
T12197,U026,04/18/2022,Expense,Travel,9154.0,Crd,DELHI,...
T8563,U080,12/29/2024,Expense,travel,9705.0,CASH,Unknown,misc
T6626,U049,2022-08-14,Expense,Food,2637.0,Cash,jaipur,Fixed deposit
T7302,U102,09/19/2024,Expense,FOOD,1073.0,CRD,lucknow,No Notes
T3552,U095,2024-01-21,Income,Bonus,34145.0,Bank Transfer,HYDERABAD,!!!
T1620,U040,08/30/2024,Expense,Utilties,527.0,Cash,MUM,No Notes
T7912,U115,06/15/2022,Expense,Saving,5195.0,UPi,LUC,Grocery shopping
T3571,U064,2024-10-05,Expense,Entrtnmnt,3143.0,Upi,CHENNAI,Books
T10957,U081,08/06/2023,Expense,travel,2135.0,CASH,Lucknow,Medicine
T0294,U080,25-12-24,Expense,Foodd,2163.0,Upi,mumbai,Doctor consultation
T9414,U149,06/09/2024,Expense,Rentt,42078.0,UPI,Kolkata,No Notes
T10537,U079,08-01-2023,Expense,Foods,2778.0,UPi,Ahmedabad,...
T1125,U105,2024-11-22,Expense,HEALTH,3929.0,CRD,Unknown,Shopping
T8978,U103,05-10-2024,Income,Freelance,23852.0,Crd,LUC,Coffee
T5936,U022,2021-06-13,Expense,,6856.0,,Chennai,Shopping
T3751,U103,2024-05-31,Income,Bonus,49639.0,,hyderabad,Online course
T0626,U122,19-08-2024,Expense,education,3150.0,BankTransfer,CHE,Coffee
T9500,U090,2022-06-07,Expense,Helth,9408.0,cash,hyderabad,Electricity bill
T1537,U056,06/25/2022,Expense,Entertain,4114.0,Upi,Delhi,Fixed deposit
T9185,U117,12/12/2022,Income,Bonus,14249.0,Bank Transfr,LUCKNOW,No Notes
T7093,U096,2023-03-29,Expense,TRAVEL,9681.0,Upi,delhi,Online course
T1990,U121,29-03-22,Expense,travel,3011.0,CRD,Kolkata,Grocery shopping
T4706,U150,06/13/2024,Expense,health,3150.0,UPi,Jaipur,No Notes
T8416,U133,05/05/2023,Income,Bonus,32789.0,csh,bangalore,Lunch
T11932,U100,2023-02-10,Expense,Utility,6704.0,UPI,MUM,Doctor consultation
T4683,U062,2022-08-27,Expense,Travel,4427.0,Card,Chennai,Gym membership
T10528,U071,27-11-21,Expense,entertainment,3121.0,Bank_Transfer,PUNE,Grocery shopping
T10806,U149,05/19/2024,Expense,FOOD,3802.0,Upi,Jaipur,Petrol
T10505,U099,03/06/2021,Expense,Education,544.0,upi,Ahmedabad,Lunch
T13682,U145,03/09/2023,Expense,Travel,9053.0,,LUCKNOW,...
T12807,U029,2021-06-05,Income,Freelance,32381.0,Bank Transfer,chennai,...
T6557,U007,28-01-23,Expense,Travel,8305.0,UPi,pune,test
T0409,U137,2021-02-08,Expense,Utility,8841.0,,mumbai,No Notes
T10784,U022,04/30/2021,Income,Investment,46219.0,CRD,Lucknow,No Notes
T2457,U054,03-10-21,Expense,Traval,9800.0,Cash,Mumbai,misc
T12395,U062,04/10/2021,Expense,Utilties,4451.0,Bank Transfer,MUMBAI,...
T1882,U101,09/25/2022,Expense,Education,9358.0,CRD,mumbai,No Notes
T13924,U035,08/24/2021,Expense,RENT,3569.0,cash,jaipur,Online course
T13453,U110,2024-11-05,Expense,Rnt,2979.0,cash,HYD,Medicine
T9836,U058,2024-09-11,Expense,Travel,1863.0,Bank_Transfer,hyderabad,Lunch
T13845,U066,06/24/2022,Expense,Rent,34984.0,UPi,chennai,Petrol
T11381,U107,05/12/2024,Income,Investment,44031.0,Bank Transfr,HYD,Online course
T5758,U049,08-04-2023,Expense,Rentt,21771.0,upi,chennai,No Notes
T12059,U077,12/11/2021,Income,Salary,24920.0,upi,chennai,Online course
T8889,U131,01-07-21,Expense,SAVINGS,8861.0,Bank Transfr,PUNE,...
T10327,U136,25-05-22,Expense,health,4201.0,Bank_Transfer,KOL,Online course
T4967,U113,2022-02-17,Expense,Rentt,47473.0,BankTransfer,hyderabad,Online course
T11849,U040,12/06/2021,Income,Investment,75822.0,csh,Mumbai,Medicine
T5167,U014,10/26/2021,Expense,food,677.0,Bank_Transfer,MUMBAI,Medicine
T3952,U120,08/26/2024,Expense,Rent,43252.0,csh,delhi,test
T5844,U086,2021-04-24,Expense,Food,2615.0,CRD,Lucknow,ATM withdrawal
T13040,U009,06-04-24,Expense,Foods,2855.0,UPI,BAN,misc
T3167,U145,28-11-21,Income,Bonus,57358.0,cash,Delhi,!!!
T8867,U105,11/14/2022,Expense,,6348.0,CRD,mumbai,Medicine
T5926,U016,13-07-24,Expense,RENT,4583.0,Bank_Transfer,Unknown,Lunch
T13662,U129,10/18/2021,Expense,Misc,4952.0,cash,HYDERABAD,ATM withdrawal
T13593,U018,03-11-24,Expense,others,3941.0,bank transfer,MUMBAI,Lunch
T12216,U116,21-04-23,Income,Others,47262.0,BankTransfer,KOL,No Notes
T8335,U001,19-06-21,Expense,Entertain,1998.0,upi,Lucknow,Internet bill
T4933,U018,03/17/2021,Expense,food,8124.0,,PUNE,Coffee
T7036,U105,01-12-21,Expense,Travel,1326.0,Card,Unknown,asdfgh
T9072,U066,09/26/2024,Expense,savings,4328.0,Upi,MUMBAI,Medicine
T8270,U081,04-04-2023,Expense,Foodd,276.0,Bank_Transfer,Pune,Restaurant dinner
T12265,U094,2022-04-02,Expense,Utlities,4215.0,Crd,hyderabad,ATM withdrawal
T4637,U005,11/04/2023,Expense,Utlities,6316.0,UPi,PUN,ATM withdrawal
T9022,U089,2024-03-10,Expense,Rentt,21376.0,UPI,CHE,test
T7016,U145,2021-01-09,Expense,Utility,7391.0,cash,hyderabad,Uber ride
T12109,U144,05/31/2023,Expense,Travel,2990.0,upi,MUM,Train ticket
T9952,U045,2022-12-24,Expense,Utility,2230.0,,delhi,ATM withdrawal
T13401,U064,2021-09-17,Expense,Fod,6197.0,upi,Unknown,xyz123
T11100,U142,06-05-2021,Expense,food,6502.0,card,jaipur,Shopping
T4072,U067,07-11-21,Expense,,6902.0,Crd,DELHI,Petrol
T9115,U060,21-04-22,Expense,Entertainment,9939.0,Bank Transfer,pune,No Notes
T2668,U126,12/30/2022,Expense,RENT,1518.0,Bank Transfer,LUC,Electricity bill
T1256,U035,06-03-2021,Expense,Traval,2985.0,csh,Delhi,Restaurant dinner
T7219,U002,2024-06-28,Expense,Educaton,3150.0,Bank Transfr,ahmedabad,No Notes
T7845,U014,27-12-2024,Expense,utilities,6671.0,UPi,ahmedabad,Doctor consultation
T4986,U124,2023-07-04,Expense,Traval,1409.0,upi,chennai,xyz123
T1883,U047,07/20/2024,Expense,EDU,2497.0,Bank Transfr,KOL,!!!
T7034,U108,03/24/2021,Expense,Utility,6324.0,Crd,Chennai,Gym membership
T11835,U125,04-12-22,Expense,education,7315.0,Bank Transfr,jaipur,No Notes
T0231,U031,02/08/2023,Expense,Utlities,7080.0,Bank_Transfer,kolkata,test
T2017,U090,2022-01-14,Expense,Utility,7821.0,CASH,PUN,test
T9479,U114,2021-08-14,Expense,rent,988.0,upi,Unknown,Restaurant dinner
T1312,U070,12/15/2022,Income,Freelance,23504.0,bank transfer,HYDERABAD,Electricity bill
T0010,U017,04/19/2024,Expense,,1064.0,csh,AHM,Books
T11433,U083,10/12/2021,Expense,food,2683.0,Csh,DELHI,xyz123
T4446,U017,11/30/2023,Expense,food,5022.0,Cash,Hyderabad,Internet bill
T2782,U093,2021-04-01,Expense,FOOD,7849.0,,Pune,Petrol
T11291,U040,2024-06-10,Income,Bonus,33565.0,Csh,HYDERABAD,Gym membership
T6224,U092,11/04/2024,Income,Salary,66678.0,Bank Transfr,Chennai,EMI payment
T4124,U119,03-05-2024,Expense,education,6304.0,UPI,PUNE,Fixed deposit
T10115,U091,23-02-2022,Income,Freelance,50009.0,Bank Transfer,PUNE,No Notes
T3531,U134,08-07-21,Expense,food,5811.0,Bank Transfer,Pune,No Notes
T1066,U057,2023-02-05,Expense,Entertainment,7713.0,upi,pune,Monthly rent payment
T9037,U142,12/19/2022,Income,Salary,70693.0,csh,AHMEDABAD,No Notes
T12498,U012,20-03-24,Expense,Helth,2603.0,cash,Kolkata,Monthly rent payment
T6556,U037,12/22/2023,Expense,Foods,314.0,CASH,MUM,Train ticket
T4233,U089,2024-10-30,Expense,Education,9806.0,Bank_Transfer,CHENNAI,Petrol
T1925,U060,2023-02-04,Expense,Foodd,3762.0,BankTransfer,HYD,No Notes
T9678,U092,03/15/2021,Expense,travel,9891.0,UPi,Unknown,Grocery shopping
T3468,U143,08/09/2024,Expense,Health,6869.0,Crd,Jaipur,asdfgh
T2217,U113,2023-04-02,Expense,Rnt,6756.0,Bank_Transfer,PUN,No Notes
T7901,U028,2021-09-07,Expense,entertainment,356.0,BankTransfer,jaipur,No Notes
T9324,U093,2021-10-03,Income,Others,20156.0,cash,Pune,No Notes
T6515,U121,2024-03-16,Expense,health,3790.0,Crd,AHM,...
T3401,U071,10-07-2021,Expense,,6766.0,CARD,BANGALORE,Gym membership
T2246,U061,04-01-21,Expense,Foods,3765.0,bank transfer,Chennai,Fixed deposit
T7960,U028,25-07-21,Expense,Entertainment,4638.0,card,Unknown,!!!
T13793,U141,09/23/2021,Income,Freelance,11650.0,csh,HYD,!!!
T7316,U144,22-02-24,Expense,Utilties,5790.0,,PUN,misc
T4875,U076,06/16/2024,Expense,Rentt,12435.0,UPi,Lucknow,No Notes
T1216,U042,31-01-22,Income,Investment,31183.0,Bank Transfer,Jaipur,Shopping
T11898,U035,2023-04-13,Expense,Food,775.0,UPi,Unknown,Monthly rent payment
T3071,U139,11/03/2021,Expense,entertainment,8230.0,Bank_Transfer,lucknow,EMI payment
T12468,U043,12/14/2024,Expense,Rnt,5582.0,UPI,AHMEDABAD,Monthly rent payment
T5511,U114,04/20/2024,Expense,Fod,5918.0,bank transfer,Pune,No Notes
T5607,U093,02/05/2024,Income,Investment,73830.0,UPi,PUNE,xyz123
T9770,U040,02/21/2021,Expense,Rent,23340.0,CRD,lucknow,Doctor consultation
T11278,U009,2022-07-19,Expense,Rentt,40813.0,Upi,delhi,Books
T10427,U077,2024-12-31,Expense,Utlities,3414.0,Upi,pune,test
T1377,U044,31-03-22,Expense,Food,2033.0,UPI,MUMBAI,EMI payment
T2469,U038,11/30/2023,Income,Bonus,44932.0,Bank Transfr,KOL,Lunch
T6621,U104,14-08-22,Expense,FOOD,999999.0,CASH,Jaipur,xyz123
T7679,U079,2024-05-03,Expense,Education,2274.0,cash,HYDERABAD,Grocery shopping
T8635,U039,28-02-2023,Expense,travel,330.0,Bank Transfer,chennai,No Notes
T4874,U123,2024-12-30,Expense,travel,8592.0,Csh,PUN,Lunch
T3143,U025,2023-05-01,Expense,rent,6779.0,csh,Delhi,Monthly rent payment
T13475,U033,01-12-22,Income,Investment,29235.0,bank transfer,Unknown,xyz123
T8560,U023,04/02/2023,Expense,Health,2143.0,Card,delhi,asdfgh
T8417,U089,2022-05-17,Expense,Foods,4945.0,CRD,ahmedabad,test
T8379,U106,16-10-21,Expense,Entertainment,8152.0,Upi,DELHI,Uber ride
T13913,U006,12/07/2022,Expense,Other,7300.0,Bank_Transfer,pune,!!!
T11359,U135,04-06-24,Expense,Foods,4603.0,bank transfer,AHMEDABAD,EMI payment
T8916,U035,2022-10-13,Expense,Entrtnmnt,4719.0,card,MUM,Coffee
T5752,U112,12-05-22,Expense,Rent,27792.0,bank transfer,PUN,Doctor consultation
T11316,U053,06-10-2022,Expense,TRAVEL,6691.0,card,HYD,Doctor consultation
T4377,U065,2022-04-05,Expense,RENT,5935.0,Bank Transfr,HYD,Coffee
T10191,U150,02/26/2024,Expense,TRAVEL,9750.0,UPI,mumbai,ATM withdrawal
T10267,U128,2021-10-19,Expense,RENT,6484.0,Upi,JAI,Fixed deposit
T10019,U029,18-02-2024,Expense,entertainment,2398.0,bank transfer,LUC,Medicine
T1053,U081,25-08-2021,Expense,Food,498.0,Csh,delhi,Coffee
T2960,U124,2022-09-05,Expense,Rent,35588.0,CASH,JAIPUR,Grocery shopping
T5402,U053,2021-11-02,Income,Others,13131.0,CARD,Lucknow,Fixed deposit
T1989,U027,06/08/2024,Expense,Health,6321.0,Cash,AHM,ATM withdrawal
T7284,U114,08/30/2023,Expense,Rent,28207.0,BankTransfer,Unknown,Fixed deposit
T1195,U102,08-06-23,Expense,Rentt,10749.0,Cash,lucknow,Uber ride
T6008,U053,2023-05-21,Expense,Foodd,2232.0,,PUN,Books
T11465,U149,03/30/2022,Expense,SAVINGS,8161.0,CARD,Bangalore,Restaurant dinner
T8940,U088,2024-11-05,Expense,,3825.0,CASH,Bangalore,No Notes
T2577,U075,2022-07-13,Expense,Utilities,4923.0,bank transfer,MUMBAI,No Notes
T6064,U104,2023-11-04,Expense,Food,1078.0,Bank_Transfer,DELHI,No Notes
T1619,U053,16-02-21,Income,Investment,74630.0,BankTransfer,AHM,No Notes
T1405,U109,02-12-2022,Income,Freelance,14180.0,Cash,mumbai,Online course
T0352,U149,11-08-2024,Expense,utilities,8479.0,UPi,Bangalore,Monthly rent payment
T5467,U104,2023-11-05,Expense,food,5292.0,Bank_Transfer,hyderabad,Gym membership
T10397,U013,10/20/2022,Expense,TRAVEL,3942.0,Bank_Transfer,Lucknow,!!!
T3306,U065,2022-07-22,Expense,entertainment,2923.0,Bank Transfer,Delhi,Doctor consultation
T12923,U075,09/01/2023,Expense,entertainment,8943.0,Crd,Pune,Monthly rent payment
T2497,U149,22-11-2022,Expense,utilities,3159.0,CARD,DELHI,ATM withdrawal
T12309,U024,18-12-2023,Expense,Rent,12484.0,CRD,BAN,No Notes
T6608,U081,04-06-23,Expense,rent,4331.0,Csh,HYDERABAD,Train ticket
T4870,U014,2024-10-04,Expense,Rnt,9348.0,bank transfer,JAIPUR,No Notes
T12187,U060,06/26/2024,Expense,FOOD,8174.0,bank transfer,Pune,No Notes
T13685,U047,2021-08-03,Income,Investment,74243.0,Cash,JAIPUR,Shopping
T6605,U124,2023-10-17,Expense,FOOD,8640.0,cash,Jaipur,Coffee
T3940,U085,2021-06-25,Expense,food,9784.0,Crd,JAIPUR,Uber ride
T12289,U001,26-12-2021,Expense,Rentt,45093.0,CRD,PUN,Electricity bill
T12849,U049,04/21/2021,Expense,FOOD,2130.0,UPI,lucknow,Restaurant dinner
T6257,U036,2023-02-21,Expense,Food,4816.0,UPi,PUN,Lunch
T3936,U039,10/05/2023,Expense,food,2247.0,card,chennai,Uber ride
T10279,U087,2021-03-13,Income,Freelance,46587.0,CRD,LUCKNOW,asdfgh
T0177,U038,2022-06-13,Expense,Others,6610.0,csh,PUNE,Restaurant dinner
T3986,U077,2024-12-20,Expense,travel,4692.0,upi,jaipur,Fixed deposit
T3810,U004,02-03-21,Expense,Educaton,5305.0,bank transfer,CHE,Restaurant dinner
T7155,U060,08/14/2022,Income,Bonus,67675.0,Bank Transfer,BANGALORE,No Notes
T8163,U016,2021-03-29,Expense,Entertain,7845.0,csh,DEL,asdfgh
T7044,U049,18-05-22,Expense,Entertainment,7183.0,cash,Unknown,Shopping
T3840,U144,2022-08-23,Expense,Utilties,6908.0,Card,BAN,No Notes
T3774,U020,2023-09-08,Expense,Rentt,47146.0,card,Delhi,No Notes
T3961,U111,2024-07-15,Expense,HEALTH,5749.0,csh,pune,Internet bill
T13582,U133,26-10-2021,Expense,Entrtnmnt,5542.0,CARD,Kolkata,Petrol
T11104,U121,14-09-22,Expense,travel,3429.0,card,MUM,Lunch
T8714,U065,2021-06-23,Expense,Entertain,237.0,Bank Transfer,JAIPUR,Petrol
T2709,U138,18-08-22,Expense,SAVINGS,8231.0,UPI,CHENNAI,Lunch
T2156,U018,11-05-22,Expense,Utlities,9859.0,UPI,kolkata,EMI payment
T8551,U065,2024-03-20,Expense,utilities,2288.0,UPI,Kolkata,No Notes
T10622,U030,2022-01-26,Expense,Travel,5756.0,Bank_Transfer,HYD,ATM withdrawal
T9673,U145,10/31/2021,Expense,Rentt,28183.0,Upi,Delhi,...
T8967,U125,16-03-23,Income,Others,41720.0,Bank_Transfer,pune,Doctor consultation
T11141,U098,10/07/2024,Expense,rent,7335.0,Bank Transfer,CHENNAI,!!!
T4430,U147,2024-10-04,Expense,RENT,287.0,CARD,HYDERABAD,Restaurant dinner
T11810,U060,12/30/2021,Income,Others,57828.0,UPI,ahmedabad,Shopping
T10574,U061,2021-10-28,Expense,Education,9601.0,,kolkata,Uber ride
T9406,U131,12/08/2021,Expense,Entertainment,2186.0,CRD,Bangalore,Online course
T2288,U143,14-06-21,Expense,Entrtnmnt,8093.0,CARD,lucknow,asdfgh
T1733,U080,05/03/2023,Expense,Travel,2272.0,Bank Transfer,HYD,Gym membership
T13220,U140,02/05/2024,Expense,Foodd,4549.0,Csh,CHENNAI,ATM withdrawal
T9379,U106,2021-11-26,Expense,Rent,21603.0,csh,JAIPUR,Petrol
T0617,U046,2021-01-22,Expense,Fod,1641.0,csh,kolkata,No Notes
T13759,U109,27-12-21,Expense,Educaton,7941.0,Upi,CHENNAI,test
T0147,U114,27-06-21,Expense,Travl,7135.0,cash,LUCKNOW,ATM withdrawal
T4332,U089,21-11-23,Expense,FOOD,4265.0,UPi,hyderabad,No Notes
T12052,U046,09/09/2023,Expense,savings,8634.0,Bank Transfer,LUC,Gym membership
T4585,U003,2024-05-21,Expense,Entertain,1006.0,Upi,hyderabad,Medicine
T0859,U132,27-10-2024,Expense,TRAVEL,475.0,BankTransfer,DEL,No Notes
T5011,U129,2022-07-16,Expense,TRAVEL,6799.0,CARD,Bangalore,Restaurant dinner
T1330,U108,2022-03-21,Expense,rent,1564.0,,Unknown,Doctor consultation
T4361,U008,19-03-23,Expense,education,1002.0,Bank_Transfer,AHMEDABAD,No Notes
T7760,U089,2024-05-11,Expense,Rent,46614.0,Bank Transfr,LUC,...
T7501,U047,01/12/2021,Expense,Food,4005.0,cash,kolkata,Monthly rent payment
T10853,U083,2023-04-28,Expense,Travel,4601.0,Upi,PUN,Medicine
T5130,U075,2021-09-10,Expense,Rent,46896.0,UPI,delhi,Lunch
T4248,U058,2022-03-21,Income,Salary,78532.0,Bank_Transfer,kolkata,misc
T5305,U046,01/16/2023,Income,Bonus,178518.0,Bank Transfr,pune,Shopping
T6784,U022,2021-01-12,Expense,Fod,8687.0,,BANGALORE,Coffee
T1468,U139,2022-12-07,Income,Freelance,57170.0,UPi,DEL,Movie tickets
T5253,U075,2021-08-07,Expense,FOOD,7235.0,Crd,BAN,test
T6241,U037,04-07-22,Expense,TRAVEL,9675.0,csh,MUM,Restaurant dinner
T4458,U075,04/21/2022,Expense,Food,4895.0,UPi,AHM,Fixed deposit
T4529,U064,2024-01-31,Income,Bonus,21355.0,Bank_Transfer,JAI,EMI payment
T5154,U072,11-03-24,Income,Others,13183.0,upi,CHENNAI,Books
T10901,U086,2022-07-12,Expense,Traval,9364.0,UPI,DELHI,EMI payment
T12719,U019,2021-05-18,Expense,FOOD,5042.0,cash,JAI,EMI payment
T6988,U044,10/07/2023,Expense,Rnt,2824.0,UPI,AHM,Doctor consultation
T2128,U126,2023-10-18,Expense,HEALTH,9979.0,upi,HYD,Internet bill
T1182,U023,2024-09-20,Expense,Health,8548.0,,BAN,ATM withdrawal
T4182,U117,03/03/2023,Expense,Food,700.0,Bank Transfr,PUN,Gym membership
T4082,U138,07/23/2021,Expense,food,6556.0,Upi,mumbai,No Notes
T8735,U023,2023-07-12,Expense,FOOD,8641.0,Card,HYDERABAD,No Notes
T8123,U020,2023-05-15,Expense,RENT,5988.0,Bank Transfer,MUM,Movie tickets
T7895,U117,2024-08-23,Expense,Utlities,6348.0,card,Chennai,!!!
T8735,U113,2021-05-15,Expense,Rnt,5549.0,UPi,Unknown,Fixed deposit
T10792,U053,2022-07-15,Expense,Rent,44898.0,cash,Chennai,Coffee
T8838,U010,16-07-2023,Expense,RENT,3221.0,Upi,DEL,ATM withdrawal
T1044,U075,2021-05-06,Expense,food,1810.0,Card,KOL,Internet bill
T8602,U097,12/07/2024,Expense,RENT,9944.0,UPI,DEL,misc
T7931,U085,12-08-21,Expense,travel,1037.0,CASH,BANGALORE,Electricity bill
T13820,U148,10/16/2023,Expense,utilities,6278.0,BankTransfer,HYD,No Notes
T0241,U148,13-12-23,Expense,TRAVEL,2963.0,UPI,Unknown,xyz123
T9531,U149,06/15/2021,Expense,Utilities,999.0,csh,CHENNAI,Fixed deposit
