transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,days_since_last_txn,year_month,monthly_total_spend,category_monthly_spend,user_txn_frequency,rolling_avg_3
T3378,U001,2021-07-01,Expense,Food,4178.0,Card,Kolkata,No Notes,2021,7,1,Thursday,12.0,2021-07,4178.0,4178.0,86,2128.3333333333335
T4868,U001,2021-08-03,Expense,Food,3595.0,Card,Jaipur,Internet bill,2021,8,3,Tuesday,33.0,2021-08,12971.0,3595.0,86,3257.0
T12736,U001,2021-08-10,Expense,Education,9376.0,Upi,Mumbai,asdfgh,2021,8,10,Tuesday,7.0,2021-08,12971.0,9376.0,86,5716.333333333333
T4454,U001,2021-10-26,Expense,Entertainment,9484.0,Cash,Mumbai,No Notes,2021,10,26,Tuesday,77.0,2021-10,9484.0,9484.0,86,7485.0
T10542,U001,2021-11-07,Expense,Rent,27587.0,Upi,Chennai,No Notes,2021,11,7,Sunday,12.0,2021-11,27587.0,27587.0,86,15482.333333333334
T8055,U001,2021-12-22,Expense,Entertainment,5385.0,Upi,Lucknow,Online course,2021,12,22,Wednesday,45.0,2021-12,50478.0,5385.0,86,14152.0
T12289,U001,2021-12-26,Expense,Rent,45093.0,Card,Pune,Electricity bill,2021,12,26,Sunday,4.0,2021-12,50478.0,45093.0,86,26021.666666666668
T3594,U001,2022-02-26,Expense,Food,3404.0,Bank_Transfer,Hyderabad,No Notes,2022,2,26,Saturday,62.0,2022-02,3404.0,3404.0,86,17960.666666666668
T8644,U001,2022-03-14,Expense,Travel,9451.0,Upi,Jaipur,No Notes,2022,3,14,Monday,16.0,2022-03,9451.0,9451.0,86,19316.0
T11186,U001,2022-05-08,Expense,Health,7834.0,Cash,Chennai,Uber ride,2022,5,8,Sunday,55.0,2022-05,21282.0,13125.0,86,6896.333333333333
T3923,U001,2022-05-18,Expense,Travel,7698.0,Upi,Jaipur,No Notes,2022,5,18,Wednesday,10.0,2022-05,21282.0,8157.0,86,8327.666666666666
T6406,U001,2022-05-19,Expense,Health,5291.0,Upi,Hyderabad,Movie tickets,2022,5,19,Thursday,1.0,2022-05,21282.0,13125.0,86,6941.0
T0913,U001,2022-05-25,Expense,Travel,459.0,Upi,Delhi,Movie tickets,2022,5,25,Wednesday,6.0,2022-05,21282.0,8157.0,86,4482.666666666667
T10979,U001,2022-06-20,Income,Freelance,36776.0,Upi,Bangalore,!!!,2022,6,20,Monday,26.0,2022-06,,,86,14175.333333333334
T8878,U001,2022-07-24,Expense,Food,3632.0,Cash,Delhi,Train ticket,2022,7,24,Sunday,34.0,2022-07,6530.0,3632.0,86,13622.333333333334
T2762,U001,2022-07-27,Expense,Travel,2898.0,Cash,Kolkata,Coffee,2022,7,27,Wednesday,3.0,2022-07,6530.0,2898.0,86,14435.333333333334
T2682,U001,2022-08-10,Expense,Others,9440.0,Card,Pune,Grocery shopping,2022,8,10,Wednesday,14.0,2022-08,16994.0,9440.0,86,5323.333333333333
T2408,U001,2022-08-15,Expense,Education,7554.0,Bank_Transfer,Jaipur,Uber ride,2022,8,15,Monday,5.0,2022-08,16994.0,7554.0,86,6630.666666666667
T3336,U001,2022-10-09,Income,Freelance,55604.0,Cash,Chennai,Train ticket,2022,10,9,Sunday,55.0,2022-10,14506.0,,86,24199.333333333332
T7942,U001,2022-10-19,Expense,Rent,5368.0,Bank_Transfer,Kolkata,Online course,2022,10,19,Wednesday,10.0,2022-10,14506.0,9294.0,86,22842.0
T2576,U001,2022-10-22,Expense,Travel,4510.0,Bank_Transfer,Chennai,Coffee,2022,10,22,Saturday,3.0,2022-10,14506.0,4510.0,86,21827.333333333332
T0464,U001,2022-10-22,Expense,Rent,3926.0,Cash,Ahmedabad,Movie tickets,2022,10,22,Saturday,0.0,2022-10,14506.0,9294.0,86,4601.333333333333
T13104,U001,2022-10-30,Expense,Health,702.0,Cash,Lucknow,Medicine,2022,10,30,Sunday,8.0,2022-10,14506.0,702.0,86,3046.0
T3254,U001,2022-12-02,Expense,Education,5881.0,Upi,Bangalore,asdfgh,2022,12,2,Friday,33.0,2022-12,31293.0,5881.0,86,3503.0
T4149,U001,2022-12-07,Expense,Rent,17529.0,Cash,Ahmedabad,Shopping,2022,12,7,Wednesday,5.0,2022-12,31293.0,17529.0,86,8037.333333333333
T2779,U001,2022-12-22,Expense,Savings,1022.0,Cash,Pune,Doctor consultation,2022,12,22,Thursday,15.0,2022-12,31293.0,1022.0,86,8144.0
T5429,U001,2022-12-26,Expense,Utilities,6861.0,Cash,Lucknow,No Notes,2022,12,26,Monday,4.0,2022-12,31293.0,6861.0,86,8470.666666666666
T4833,U001,2023-01-20,Expense,Travel,9357.0,Cash,Lucknow,EMI payment,2023,1,20,Friday,25.0,2023-01,9357.0,9357.0,86,5746.666666666667
T12373,U001,2023-02-12,Expense,Rent,2100.0,Unknown,Pune,Gym membership,2023,2,12,Sunday,23.0,2023-02,21870.0,2100.0,86,6106.0
T10256,U001,2023-02-16,Expense,Others,8735.0,Upi,Pune,No Notes,2023,2,16,Thursday,4.0,2023-02,21870.0,8735.0,86,6730.666666666667
T9718,U001,2023-02-21,Expense,Food,7959.0,Cash,Delhi,No Notes,2023,2,21,Tuesday,5.0,2023-02,21870.0,7959.0,86,6264.666666666667
T3331,U001,2023-02-22,Expense,Entertainment,3076.0,Card,Delhi,Monthly rent payment,2023,2,22,Wednesday,1.0,2023-02,21870.0,3076.0,86,6590.0
T2593,U001,2023-02-26,Income,Investment,73568.0,Upi,Bangalore,test,2023,2,26,Sunday,4.0,2023-02,21870.0,,86,28201.0
T13388,U001,2023-04-05,Expense,Education,8434.0,Upi,Kolkata,...,2023,4,5,Wednesday,38.0,2023-04,8434.0,8434.0,86,28359.333333333332
T1180,U001,2023-04-17,Income,Investment,48060.0,Unknown,Kolkata,No Notes,2023,4,17,Monday,12.0,2023-04,8434.0,,86,43354.0
T10138,U001,2023-05-25,Expense,Food,1575.0,Upi,Lucknow,No Notes,2023,5,25,Thursday,38.0,2023-05,1575.0,1575.0,86,19356.333333333332
T12982,U001,2023-06-04,Income,Salary,69892.0,Bank_Transfer,Unknown,Grocery shopping,2023,6,4,Sunday,10.0,2023-06,724.0,,86,39842.333333333336
T4469,U001,2023-06-17,Expense,Food,462.0,Upi,Mumbai,ATM withdrawal,2023,6,17,Saturday,13.0,2023-06,724.0,462.0,86,23976.333333333332
T9441,U001,2023-06-25,Expense,Entertainment,262.0,Cash,Kolkata,Shopping,2023,6,25,Sunday,8.0,2023-06,724.0,262.0,86,23538.666666666668
T1029,U001,2023-07-03,Income,Others,42053.0,Bank_Transfer,Pune,EMI payment,2023,7,3,Monday,8.0,2023-07,8323.0,,86,14259.0
T7578,U001,2023-07-10,Expense,Education,8323.0,Upi,Pune,No Notes,2023,7,10,Monday,7.0,2023-07,8323.0,8323.0,86,16879.333333333332
T6890,U001,2023-08-02,Expense,Food,3885.0,Bank_Transfer,Kolkata,No Notes,2023,8,2,Wednesday,23.0,2023-08,19776.0,19776.0,86,18087.0
T0915,U001,2023-08-04,Expense,Food,8570.0,Upi,Pune,Coffee,2023,8,4,Friday,2.0,2023-08,19776.0,19776.0,86,6926.0
T9445,U001,2023-08-24,Expense,Food,7321.0,Unknown,Hyderabad,EMI payment,2023,8,24,Thursday,20.0,2023-08,19776.0,19776.0,86,6592.0
T12363,U001,2023-10-11,Expense,Food,4839.0,Cash,Mumbai,EMI payment,2023,10,11,Wednesday,48.0,2023-10,4839.0,4839.0,86,6910.0
T1167,U001,2023-11-01,Expense,Entertainment,8348.0,Cash,Kolkata,Electricity bill,2023,11,1,Wednesday,21.0,2023-11,43141.0,8348.0,86,6836.0
T2346,U001,2023-11-13,Expense,Rent,34793.0,Upi,Kolkata,Online course,2023,11,13,Monday,12.0,2023-11,43141.0,34793.0,86,15993.333333333334
T1521,U001,2023-12-07,Expense,Others,882.0,Upi,Delhi,Monthly rent payment,2023,12,7,Thursday,24.0,2023-12,5517.0,882.0,86,14674.333333333334
T7096,U001,2023-12-31,Expense,Health,4635.0,Bank_Transfer,Unknown,Doctor consultation,2023,12,31,Sunday,24.0,2023-12,5517.0,4635.0,86,13436.666666666666
T12046,U001,2024-01-02,Expense,Food,4103.0,Unknown,Bangalore,No Notes,2024,1,2,Tuesday,2.0,2024-01,13070.0,12775.0,86,3206.6666666666665
T2084,U001,2024-01-08,Expense,Education,295.0,Cash,Hyderabad,No Notes,2024,1,8,Monday,6.0,2024-01,13070.0,295.0,86,3011.0
T12588,U001,2024-01-11,Expense,Food,1809.0,Cash,Bangalore,Electricity bill,2024,1,11,Thursday,3.0,2024-01,13070.0,12775.0,86,2069.0
T1127,U001,2024-01-24,Expense,Food,6863.0,Unknown,Unknown,Petrol,2024,1,24,Wednesday,13.0,2024-01,13070.0,12775.0,86,2989.0
T13209,U001,2024-03-23,Expense,Travel,8514.0,Card,Bangalore,No Notes,2024,3,23,Saturday,59.0,2024-03,8514.0,8514.0,86,5728.666666666667
T13247,U001,2024-04-03,Expense,Food,1048.0,Card,Bangalore,Train ticket,2024,4,3,Wednesday,11.0,2024-04,1048.0,1048.0,86,5475.0
T13531,U001,2024-04-13,Income,Salary,79454.0,Cash,Unknown,Lunch,2024,4,13,Saturday,10.0,2024-04,1048.0,,86,29672.0
T5921,U001,2024-05-24,Expense,Travel,8174.0,Cash,Ahmedabad,EMI payment,2024,5,24,Friday,41.0,2024-05,9587.0,8174.0,86,29558.666666666668
T1410,U001,2024-05-25,Expense,Food,1413.0,Card,Jaipur,!!!,2024,5,25,Saturday,1.0,2024-05,9587.0,1413.0,86,29680.333333333332
T12457,U001,2024-06-12,Expense,Education,252.0,Cash,Chennai,ATM withdrawal,2024,6,12,Wednesday,18.0,2024-06,5499.0,252.0,86,3279.6666666666665
T0733,U001,2024-06-25,Expense,Travel,5247.0,Card,Kolkata,Electricity bill,2024,6,25,Tuesday,13.0,2024-06,5499.0,5247.0,86,2304.0
T3285,U001,2024-07-14,Expense,Utilities,8396.0,Card,Chennai,Medicine,2024,7,14,Sunday,19.0,2024-07,8396.0,8396.0,86,4631.666666666667
T1909,U001,2024-07-15,Income,Freelance,25294.0,Cash,Chennai,Coffee,2024,7,15,Monday,1.0,2024-07,8396.0,,86,12979.0
T2201,U001,2024-07-18,Income,Investment,37897.0,Bank_Transfer,Bangalore,xyz123,2024,7,18,Thursday,3.0,2024-07,8396.0,,86,23862.333333333332
T2601,U001,2024-09-04,Expense,Rent,8336.0,Unknown,Bangalore,Online course,2024,9,4,Wednesday,48.0,2024-09,15207.0,8336.0,86,23842.333333333332
T11179,U001,2024-09-05,Expense,Travel,6871.0,Upi,Lucknow,Monthly rent payment,2024,9,5,Thursday,1.0,2024-09,15207.0,6871.0,86,17701.333333333332
T2770,U001,2024-11-02,Income,Salary,49068.0,Cash,Mumbai,Lunch,2024,11,2,Saturday,58.0,2024-11,57857.0,,86,21425.0
T8946,U001,2024-11-04,Expense,Food,3907.0,Card,Hyderabad,ATM withdrawal,2024,11,4,Monday,2.0,2024-11,57857.0,4827.0,86,19948.666666666668
T5400,U001,2024-11-12,Expense,Education,8805.0,Bank_Transfer,Bangalore,misc,2024,11,12,Tuesday,8.0,2024-11,57857.0,8805.0,86,20593.333333333332
T11982,U001,2024-11-15,Expense,Health,1966.0,Cash,Delhi,Books,2024,11,15,Friday,3.0,2024-11,57857.0,1966.0,86,4892.666666666667
T0426,U001,2024-11-20,Expense,Rent,6258.0,Upi,Unknown,Restaurant dinner,2024,11,20,Wednesday,5.0,2024-11,57857.0,42259.0,86,5676.333333333333
T7689,U001,2024-11-22,Expense,Rent,36001.0,Card,Kolkata,Coffee,2024,11,22,Friday,2.0,2024-11,57857.0,42259.0,86,14741.666666666666
T3139,U001,2024-11-24,Expense,Food,920.0,Bank_Transfer,Hyderabad,Train ticket,2024,11,24,Sunday,2.0,2024-11,57857.0,4827.0,86,14393.0
T2249,U001,2024-12-23,Expense,Health,1122.0,Upi,Mumbai,...,2024,12,23,Monday,29.0,2024-12,1122.0,1122.0,86,12681.0
T7697,U002,2021-01-25,Expense,Food,6365.0,Upi,Jaipur,!!!,2021,1,25,Monday,,2021-01,6365.0,6365.0,88,6365.0
T12082,U002,2021-01-26,Income,Others,65556.0,Upi,Pune,Restaurant dinner,2021,1,26,Tuesday,1.0,2021-01,6365.0,,88,35960.5
T6756,U002,2021-03-23,Expense,Travel,6785.0,Upi,Mumbai,misc,2021,3,23,Tuesday,56.0,2021-03,6785.0,6785.0,88,26235.333333333332
T8090,U002,2021-04-30,Income,Freelance,72108.0,Upi,Pune,Monthly rent payment,2021,4,30,Friday,38.0,2021-04,,,88,48149.666666666664
T1535,U002,2021-06-14,Expense,Savings,5452.0,Bank_Transfer,Kolkata,Online course,2021,6,14,Monday,45.0,2021-06,8046.0,5452.0,88,28115.0
T0739,U002,2021-06-15,Expense,Rent,2594.0,Upi,Jaipur,xyz123,2021,6,15,Tuesday,1.0,2021-06,8046.0,2594.0,88,26718.0
T5914,U002,2021-07-07,Income,Freelance,32675.0,Cash,Jaipur,No Notes,2021,7,7,Wednesday,22.0,2021-07,,,88,13573.666666666666
T4581,U002,2021-08-09,Expense,Food,1012.0,Card,Bangalore,Movie tickets,2021,8,9,Monday,33.0,2021-08,1012.0,1012.0,88,12093.666666666666
T4796,U002,2021-09-30,Expense,Health,7918.0,Card,Hyderabad,No Notes,2021,9,30,Thursday,52.0,2021-09,7918.0,7918.0,88,13868.333333333334
T9478,U002,2021-10-01,Expense,Others,4410.0,Bank_Transfer,Delhi,...,2021,10,1,Friday,1.0,2021-10,7413.0,4410.0,88,4446.666666666667
T0204,U002,2021-10-04,Expense,Utilities,3003.0,Cash,Lucknow,No Notes,2021,10,4,Monday,3.0,2021-10,7413.0,3003.0,88,5110.333333333333
T11693,U002,2021-11-06,Expense,Utilities,4821.0,Card,Ahmedabad,Lunch,2021,11,6,Saturday,33.0,2021-11,13391.0,4821.0,88,4078.0
T6789,U002,2021-11-23,Expense,Entertainment,377.0,Cash,Chennai,Coffee,2021,11,23,Tuesday,17.0,2021-11,13391.0,377.0,88,2733.6666666666665
T3893,U002,2021-11-29,Expense,Health,8193.0,Bank_Transfer,Bangalore,xyz123,2021,11,29,Monday,6.0,2021-11,13391.0,8193.0,88,4463.666666666667
T12250,U002,2021-12-14,Income,Investment,56818.0,Bank_Transfer,Hyderabad,EMI payment,2021,12,14,Tuesday,15.0,2021-12,,,88,21796.0
T4684,U002,2021-12-22,Income,Investment,71558.0,Upi,Chennai,ATM withdrawal,2021,12,22,Wednesday,8.0,2021-12,,,88,45523.0
T8692,U002,2022-01-31,Expense,Rent,5654.0,Upi,Hyderabad,ATM withdrawal,2022,1,31,Monday,40.0,2022-01,5654.0,5654.0,88,44676.666666666664
T5109,U002,2022-02-28,Expense,Travel,1735.0,Bank_Transfer,Ahmedabad,ATM withdrawal,2022,2,28,Monday,28.0,2022-02,1735.0,1735.0,88,26315.666666666668
T4023,U002,2022-03-05,Income,Others,71489.0,Cash,Lucknow,Fixed deposit,2022,3,5,Saturday,5.0,2022-03,724.0,,88,26292.666666666668
T10108,U002,2022-03-31,Expense,Rent,724.0,Bank_Transfer,Chennai,test,2022,3,31,Thursday,26.0,2022-03,724.0,724.0,88,24649.333333333332
T2761,U002,2022-05-02,Expense,Entertainment,9589.0,Bank_Transfer,Chennai,Monthly rent payment,2022,5,2,Monday,32.0,2022-05,27984.0,16406.0,88,27267.333333333332
T10045,U002,2022-05-12,Expense,Food,3573.0,Bank_Transfer,Bangalore,No Notes,2022,5,12,Thursday,10.0,2022-05,27984.0,3573.0,88,4628.666666666667
T12110,U002,2022-05-21,Expense,Savings,8005.0,Unknown,Kolkata,Coffee,2022,5,21,Saturday,9.0,2022-05,27984.0,8005.0,88,7055.666666666667
T10571,U002,2022-05-28,Expense,Entertainment,6817.0,Cash,Jaipur,Internet bill,2022,5,28,Saturday,7.0,2022-05,27984.0,16406.0,88,6131.666666666667
T13391,U002,2022-06-18,Expense,Food,4693.0,Upi,Ahmedabad,Doctor consultation,2022,6,18,Saturday,21.0,2022-06,23438.0,4693.0,88,6505.0
T5610,U002,2022-06-18,Expense,Utilities,9771.0,Upi,Chennai,Monthly rent payment,2022,6,18,Saturday,0.0,2022-06,23438.0,9771.0,88,7093.666666666667
T13403,U002,2022-06-25,Expense,Education,8199.0,Cash,Jaipur,Online course,2022,6,25,Saturday,7.0,2022-06,23438.0,8199.0,88,7554.333333333333
T7678,U002,2022-06-25,Expense,Entertainment,775.0,Card,Pune,No Notes,2022,6,25,Saturday,0.0,2022-06,23438.0,775.0,88,6248.333333333333
T11844,U002,2022-07-18,Expense,Rent,7154.0,Bank_Transfer,Chennai,EMI payment,2022,7,18,Monday,23.0,2022-07,7154.0,7154.0,88,5376.0
T7138,U002,2022-07-22,Income,Bonus,13927.0,Card,Ahmedabad,Petrol,2022,7,22,Friday,4.0,2022-07,7154.0,,88,7285.333333333333
T2389,U002,2022-08-12,Expense,Health,5150.0,Upi,Bangalore,ATM withdrawal,2022,8,12,Friday,21.0,2022-08,9054.0,5150.0,88,8743.666666666666
T11307,U002,2022-08-31,Expense,Travel,3904.0,Upi,Kolkata,Books,2022,8,31,Wednesday,19.0,2022-08,9054.0,3904.0,88,7660.333333333333
T3721,U002,2022-09-04,Expense,Travel,4373.0,Upi,Ahmedabad,Train ticket,2022,9,4,Sunday,4.0,2022-09,6314.0,4373.0,88,4475.666666666667
T10914,U002,2022-09-24,Expense,Education,1941.0,Upi,Bangalore,Uber ride,2022,9,24,Saturday,20.0,2022-09,6314.0,1941.0,88,3406.0
T7360,U002,2022-11-05,Expense,Food,7063.0,Card,Unknown,No Notes,2022,11,5,Saturday,42.0,2022-11,26536.0,11550.0,88,4459.0
T4186,U002,2022-11-11,Expense,Food,175.0,Bank_Transfer,Chennai,xyz123,2022,11,11,Friday,6.0,2022-11,26536.0,11550.0,88,3059.6666666666665
T9839,U002,2022-11-17,Expense,Education,9892.0,Card,Unknown,Online course,2022,11,17,Thursday,6.0,2022-11,26536.0,9892.0,88,5710.0
T6122,U002,2022-11-23,Expense,Food,4312.0,Card,Chennai,Internet bill,2022,11,23,Wednesday,6.0,2022-11,26536.0,11550.0,88,4793.0
T2532,U002,2022-11-30,Expense,Travel,5094.0,Cash,Bangalore,Grocery shopping,2022,11,30,Wednesday,7.0,2022-11,26536.0,5094.0,88,6432.666666666667
T3175,U002,2022-12-01,Expense,Food,4750.0,Card,Chennai,Monthly rent payment,2022,12,1,Thursday,1.0,2022-12,10042.0,4750.0,88,4718.666666666667
T7427,U002,2022-12-21,Expense,Entertainment,5292.0,Bank_Transfer,Delhi,asdfgh,2022,12,21,Wednesday,20.0,2022-12,10042.0,5292.0,88,5045.333333333333
T3877,U002,2023-01-24,Expense,Travel,3999.0,Card,Kolkata,EMI payment,2023,1,24,Tuesday,34.0,2023-01,3999.0,3999.0,88,4680.333333333333
T2186,U002,2023-02-22,Expense,Rent,10099.0,Bank_Transfer,Chennai,No Notes,2023,2,22,Wednesday,29.0,2023-02,10099.0,10099.0,88,6463.333333333333
T6969,U002,2023-03-17,Income,Investment,52187.0,Card,Hyderabad,Fixed deposit,2023,3,17,Friday,23.0,2023-03,1859.0,,88,22095.0
T12278,U002,2023-03-19,Expense,Utilities,1859.0,Bank_Transfer,Mumbai,Uber ride,2023,3,19,Sunday,2.0,2023-03,1859.0,1859.0,88,21381.666666666668
T11163,U002,2023-04-01,Expense,Others,1220.0,Cash,Pune,Petrol,2023,4,1,Saturday,13.0,2023-04,22950.0,1220.0,88,18422.0
T11801,U002,2023-04-19,Expense,Health,2659.0,Upi,Bangalore,Coffee,2023,4,19,Wednesday,18.0,2023-04,22950.0,2659.0,88,1912.6666666666667
T12819,U002,2023-04-21,Expense,Entertainment,4253.0,Card,Hyderabad,Books,2023,4,21,Friday,2.0,2023-04,22950.0,5986.0,88,2710.6666666666665
T8728,U002,2023-04-25,Expense,Entertainment,1733.0,Bank_Transfer,Bangalore,Restaurant dinner,2023,4,25,Tuesday,4.0,2023-04,22950.0,5986.0,88,2881.6666666666665
T8441,U002,2023-04-29,Expense,Education,9076.0,Cash,Chennai,Fixed deposit,2023,4,29,Saturday,4.0,2023-04,22950.0,9076.0,88,5020.666666666667
T13566,U002,2023-04-30,Expense,Food,4009.0,Bank_Transfer,Unknown,Restaurant dinner,2023,4,30,Sunday,1.0,2023-04,22950.0,4009.0,88,4939.333333333333
T9353,U002,2023-05-06,Expense,Rent,15842.0,Cash,Unknown,Medicine,2023,5,6,Saturday,6.0,2023-05,20927.0,15842.0,88,9642.333333333334
T8761,U002,2023-05-09,Expense,Utilities,5085.0,Cash,Lucknow,No Notes,2023,5,9,Tuesday,3.0,2023-05,20927.0,5085.0,88,8312.0
T5114,U002,2023-05-21,Income,Investment,54572.0,Bank_Transfer,Hyderabad,Uber ride,2023,5,21,Sunday,12.0,2023-05,20927.0,,88,25166.333333333332
T9218,U002,2023-06-11,Expense,Food,3203.0,Card,Lucknow,misc,2023,6,11,Sunday,21.0,2023-06,9476.0,3203.0,88,20953.333333333332
T11331,U002,2023-06-11,Expense,Travel,6273.0,Cash,Kolkata,Online course,2023,6,11,Sunday,0.0,2023-06,9476.0,6273.0,88,21349.333333333332
T12613,U002,2023-08-05,Expense,Food,4359.0,Upi,Pune,No Notes,2023,8,5,Saturday,55.0,2023-08,8708.0,4359.0,88,4611.666666666667
T4496,U002,2023-08-19,Expense,Others,4349.0,Cash,Bangalore,Books,2023,8,19,Saturday,14.0,2023-08,8708.0,4349.0,88,4993.666666666667
T6271,U002,2023-09-16,Expense,Utilities,6850.0,Bank_Transfer,Unknown,test,2023,9,16,Saturday,28.0,2023-09,6850.0,6850.0,88,5186.0
T6169,U002,2023-10-26,Expense,Food,9131.0,Unknown,Chennai,!!!,2023,10,26,Thursday,40.0,2023-10,9131.0,9131.0,88,6776.666666666667
T11812,U002,2023-11-08,Expense,Rent,46947.0,Card,Chennai,Lunch,2023,11,8,Wednesday,13.0,2023-11,46947.0,46947.0,88,20976.0
T3585,U002,2023-12-13,Expense,Food,1631.0,Upi,Hyderabad,No Notes,2023,12,13,Wednesday,35.0,2023-12,42991.0,1631.0,88,19236.333333333332
T4533,U002,2023-12-20,Expense,Rent,41360.0,Card,Unknown,ATM withdrawal,2023,12,20,Wednesday,7.0,2023-12,42991.0,41360.0,88,29979.333333333332
T1141,U002,2024-01-17,Expense,Utilities,3348.0,Bank_Transfer,Lucknow,Electricity bill,2024,1,17,Wednesday,28.0,2024-01,5673.0,3348.0,88,15446.333333333334
T3218,U002,2024-01-31,Expense,Education,2325.0,Upi,Mumbai,misc,2024,1,31,Wednesday,14.0,2024-01,5673.0,2325.0,88,15677.666666666666
T0709,U002,2024-02-27,Expense,Health,676.0,Bank_Transfer,Kolkata,xyz123,2024,2,27,Tuesday,27.0,2024-02,676.0,676.0,88,2116.3333333333335
T13113,U002,2024-03-07,Expense,Utilities,4096.0,Bank_Transfer,Pune,Internet bill,2024,3,7,Thursday,9.0,2024-03,11784.0,4096.0,88,2365.6666666666665
T9473,U002,2024-03-26,Expense,Savings,7688.0,Upi,Unknown,Petrol,2024,3,26,Tuesday,19.0,2024-03,11784.0,7688.0,88,4153.333333333333
T8347,U002,2024-04-13,Expense,Travel,9238.0,Cash,Mumbai,Restaurant dinner,2024,4,13,Saturday,18.0,2024-04,10681.0,9238.0,88,7007.333333333333
T2862,U002,2024-04-30,Expense,Savings,1443.0,Card,Lucknow,Grocery shopping,2024,4,30,Tuesday,17.0,2024-04,10681.0,1443.0,88,6123.0
T11583,U002,2024-05-01,Expense,Entertainment,2306.0,Upi,Bangalore,Uber ride,2024,5,1,Wednesday,1.0,2024-05,2306.0,2306.0,88,4329.0
T8906,U002,2024-06-21,Expense,Rent,18922.0,Bank_Transfer,Pune,Books,2024,6,21,Friday,51.0,2024-06,40804.0,18922.0,88,7557.0
T8178,U002,2024-06-24,Expense,Entertainment,8849.0,Bank_Transfer,Unknown,EMI payment,2024,6,24,Monday,3.0,2024-06,40804.0,18732.0,88,10025.666666666666
T8909,U002,2024-06-27,Expense,Entertainment,9883.0,Cash,Chennai,asdfgh,2024,6,27,Thursday,3.0,2024-06,40804.0,18732.0,88,12551.333333333334
T7219,U002,2024-06-28,Expense,Education,3150.0,Bank_Transfer,Ahmedabad,No Notes,2024,6,28,Friday,1.0,2024-06,40804.0,3150.0,88,7294.0
T12537,U002,2024-08-09,Expense,Utilities,5919.0,Card,Mumbai,Train ticket,2024,8,9,Friday,42.0,2024-08,19003.0,5919.0,88,6317.333333333333
T6671,U002,2024-08-09,Expense,Travel,7003.0,Upi,Delhi,No Notes,2024,8,9,Friday,0.0,2024-08,19003.0,7003.0,88,5357.333333333333
T7805,U002,2024-08-11,Expense,Rent,6081.0,Card,Hyderabad,xyz123,2024,8,11,Sunday,2.0,2024-08,19003.0,6081.0,88,6334.333333333333
T8901,U002,2024-09-03,Expense,Rent,4649.0,Unknown,Mumbai,...,2024,9,3,Tuesday,23.0,2024-09,31982.0,12973.0,88,5911.0
T0559,U002,2024-09-14,Expense,Rent,8324.0,Cash,Chennai,...,2024,9,14,Saturday,11.0,2024-09,31982.0,12973.0,88,6351.333333333333
T3981,U002,2024-09-21,Expense,Food,2324.0,Cash,Pune,Internet bill,2024,9,21,Saturday,7.0,2024-09,31982.0,2324.0,88,5099.0
