transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,lag_1,lag_2,lag_3,rolling_mean_3,user_transaction_count,target
T3175,U002,2022-01-12,Expense,Food,4750.0,Card,Chennai,Monthly rent payment,2022,1,12,2,71558.0,56818.0,8193.0,45523.0,6,5654.0
T8692,U002,2022-01-31,Expense,Rent,5654.0,Upi,Hyderabad,ATM withdrawal,2022,1,31,0,4750.0,71558.0,56818.0,44375.333333333336,7,1735.0
T5109,U002,2022-02-28,Expense,Travel,1735.0,Bank_Transfer,Ahmedabad,ATM withdrawal,2022,2,28,0,5654.0,4750.0,71558.0,27320.666666666668,8,8005.0
T12110,U002,2022-05-21,Expense,Savings,8005.0,Unknown,Kolkata,Coffee,2022,5,21,5,1735.0,5654.0,4750.0,4046.3333333333335,9,9771.0
T5610,U002,2022-06-18,Expense,Utilities,9771.0,Upi,Chennai,Monthly rent payment,2022,6,18,5,8005.0,1735.0,5654.0,5131.333333333333,10,13927.0
T7138,U002,2022-07-22,Income,Bonus,13927.0,Card,Ahmedabad,Petrol,2022,7,22,4,9771.0,8005.0,1735.0,6503.666666666667,11,9892.0
T9839,U002,2022-11-17,Expense,Education,9892.0,Card,Unknown,Online course,2022,11,17,3,13927.0,9771.0,8005.0,10567.666666666666,12,4312.0
T6122,U002,2022-11-23,Expense,Food,4312.0,Card,Chennai,Internet bill,2022,11,23,2,9892.0,13927.0,9771.0,11196.666666666666,13,5150.0
T2389,U002,2022-12-08,Expense,Health,5150.0,Upi,Bangalore,ATM withdrawal,2022,12,8,3,4312.0,9892.0,13927.0,9377.0,14,5292.0
T7427,U002,2022-12-21,Expense,Entertainment,5292.0,Bank_Transfer,Delhi,asdfgh,2022,12,21,2,5150.0,4312.0,9892.0,6451.333333333333,15,4359.0
T12613,U002,2023-05-08,Expense,Food,4359.0,Upi,Pune,No Notes,2023,5,8,0,5292.0,5150.0,4312.0,4918.0,16,46947.0
T11812,U002,2023-08-11,Expense,Rent,46947.0,Card,Chennai,Lunch,2023,8,11,4,4359.0,5292.0,5150.0,4933.666666666667,17,3203.0
T9218,U002,2023-11-06,Expense,Food,3203.0,Card,Lucknow,misc,2023,11,6,0,46947.0,4359.0,5292.0,18866.0,18,676.0
T0709,U002,2024-02-27,Expense,Health,676.0,Bank_Transfer,Kolkata,xyz123,2024,2,27,1,3203.0,46947.0,4359.0,18169.666666666668,19,1443.0
T2862,U002,2024-04-30,Expense,Savings,1443.0,Card,Lucknow,Grocery shopping,2024,4,30,1,676.0,3203.0,46947.0,16942.0,20,18922.0
T8906,U002,2024-06-21,Expense,Rent,18922.0,Bank_Transfer,Pune,Books,2024,6,21,4,1443.0,676.0,3203.0,1774.0,21,3150.0
T7219,U002,2024-06-28,Expense,Education,3150.0,Bank_Transfer,Ahmedabad,No Notes,2024,6,28,4,18922.0,1443.0,676.0,7013.666666666667,22,5919.0
T12537,U002,2024-09-08,Expense,Utilities,5919.0,Card,Mumbai,Train ticket,2024,9,8,6,3150.0,18922.0,1443.0,7838.333333333333,23,9538.0
T11094,U002,2024-09-12,Expense,Health,9538.0,Bank_Transfer,Pune,No Notes,2024,9,12,3,5919.0,3150.0,18922.0,9330.333333333334,24,2324.0
T3981,U002,2024-09-21,Expense,Food,2324.0,Cash,Pune,Internet bill,2024,9,21,5,9538.0,5919.0,3150.0,6202.333333333333,25,7550.0
T11762,U002,2024-09-21,Expense,Travel,7550.0,Upi,Hyderabad,Train ticket,2024,9,21,5,2324.0,9538.0,5919.0,5927.0,26,5727.0
T5000,U003,2022-02-06,Income,Investment,11162.0,Unknown,Mumbai,xyz123,2022,2,6,6,169.0,8374.0,3829.0,4124.0,3,5996.0
T6536,U003,2022-03-22,Expense,Rent,5996.0,Card,Jaipur,Internet bill,2022,3,22,1,11162.0,169.0,8374.0,6568.333333333333,4,9508.0
T7641,U003,2022-04-04,Expense,Travel,9508.0,Bank_Transfer,Kolkata,...,2022,4,4,0,5996.0,11162.0,169.0,5775.666666666667,5,8157.0
T11366,U003,2022-04-14,Expense,Food,8157.0,Upi,Pune,...,2022,4,14,3,9508.0,5996.0,11162.0,8888.666666666666,6,1258.0
T10130,U003,2022-06-14,Expense,Food,1258.0,Unknown,Hyderabad,Online course,2022,6,14,1,8157.0,9508.0,5996.0,7887.0,7,2121.0
T6287,U003,2022-10-14,Expense,Utilities,2121.0,Card,Mumbai,Petrol,2022,10,14,4,1258.0,8157.0,9508.0,6307.666666666667,8,3946.0
T1002,U003,2022-12-18,Expense,Entertainment,3946.0,Upi,Kolkata,!!!,2022,12,18,6,2121.0,1258.0,8157.0,3845.3333333333335,9,7824.0
T13198,U003,2023-01-02,Expense,Entertainment,7824.0,Bank_Transfer,Jaipur,EMI payment,2023,1,2,0,3946.0,2121.0,1258.0,2441.6666666666665,10,1550.0
T2478,U003,2023-01-09,Expense,Entertainment,1550.0,Bank_Transfer,Lucknow,Doctor consultation,2023,1,9,0,7824.0,3946.0,2121.0,4630.333333333333,11,1986.0
T3457,U003,2023-01-20,Expense,Food,1986.0,Bank_Transfer,Unknown,Internet bill,2023,1,20,4,1550.0,7824.0,3946.0,4440.0,12,9361.0
T9217,U003,2023-03-09,Expense,Utilities,9361.0,Upi,Lucknow,Train ticket,2023,3,9,3,1986.0,1550.0,7824.0,3786.6666666666665,13,7880.0
T2667,U003,2023-03-20,Expense,Food,7880.0,Bank_Transfer,Kolkata,No Notes,2023,3,20,0,9361.0,1986.0,1550.0,4299.0,14,1974.0
T0705,U003,2023-03-21,Expense,Rent,1974.0,Card,Kolkata,test,2023,3,21,1,7880.0,9361.0,1986.0,6409.0,15,5749.0
T11773,U003,2023-03-25,Expense,Health,5749.0,Upi,Lucknow,Lunch,2023,3,25,5,1974.0,7880.0,9361.0,6405.0,16,57294.0
T6744,U003,2023-05-14,Income,Investment,57294.0,Cash,Mumbai,Internet bill,2023,5,14,6,5749.0,1974.0,7880.0,5201.0,17,2278.0
T8361,U003,2023-05-16,Expense,Rent,2278.0,Bank_Transfer,Delhi,Train ticket,2023,5,16,1,57294.0,5749.0,1974.0,21672.333333333332,18,45251.0
T10050,U003,2023-05-31,Expense,Rent,45251.0,Card,Ahmedabad,EMI payment,2023,5,31,2,2278.0,57294.0,5749.0,21773.666666666668,19,8751.0
T6862,U003,2023-06-04,Expense,Food,8751.0,Cash,Ahmedabad,EMI payment,2023,6,4,6,45251.0,2278.0,57294.0,34941.0,20,9682.0
T9837,U003,2023-07-17,Expense,Savings,9682.0,Upi,Lucknow,xyz123,2023,7,17,0,8751.0,45251.0,2278.0,18760.0,21,987.0
T12795,U003,2023-08-12,Expense,Rent,987.0,Upi,Hyderabad,Petrol,2023,8,12,5,9682.0,8751.0,45251.0,21228.0,22,41293.0
T7871,U003,2023-09-19,Income,Bonus,41293.0,Card,Delhi,Medicine,2023,9,19,1,987.0,9682.0,8751.0,6473.333333333333,23,3397.0
T6806,U003,2024-01-03,Expense,Utilities,3397.0,Upi,Ahmedabad,Electricity bill,2024,1,3,2,41293.0,987.0,9682.0,17320.666666666668,24,291.0
T4805,U003,2024-03-07,Expense,Food,291.0,Card,Lucknow,Lunch,2024,3,7,3,3397.0,41293.0,987.0,15225.666666666666,25,7693.0
T13114,U003,2024-05-20,Expense,Utilities,7693.0,Card,Unknown,Gym membership,2024,5,20,0,291.0,3397.0,41293.0,14993.666666666666,26,1006.0
T4585,U003,2024-05-21,Expense,Entertainment,1006.0,Upi,Hyderabad,Medicine,2024,5,21,1,7693.0,291.0,3397.0,3793.6666666666665,27,1495.0
T13671,U003,2024-05-31,Expense,Food,1495.0,Unknown,Ahmedabad,Medicine,2024,5,31,4,1006.0,7693.0,291.0,2996.6666666666665,28,1623.0
T12017,U003,2024-06-06,Expense,Others,1623.0,Bank_Transfer,Chennai,Medicine,2024,6,6,3,1495.0,1006.0,7693.0,3398.0,29,3144.0
T10530,U003,2024-06-19,Expense,Travel,3144.0,Cash,Hyderabad,Grocery shopping,2024,6,19,2,1623.0,1495.0,1006.0,1374.6666666666667,30,134.0
T13728,U003,2024-07-18,Expense,Travel,134.0,Bank_Transfer,Jaipur,Medicine,2024,7,18,3,3144.0,1623.0,1495.0,2087.3333333333335,31,41460.0
T7757,U003,2024-08-12,Income,Others,41460.0,Upi,Delhi,Electricity bill,2024,8,12,0,134.0,3144.0,1623.0,1633.6666666666667,32,2791.0
T5723,U003,2024-08-24,Expense,Others,2791.0,Upi,Delhi,No Notes,2024,8,24,5,41460.0,134.0,3144.0,14912.666666666666,33,1818.0
T0193,U003,2024-09-17,Expense,Education,1818.0,Cash,Chennai,Coffee,2024,9,17,1,2791.0,41460.0,134.0,14795.0,34,6002.0
T9841,U003,2024-09-24,Expense,Food,6002.0,Card,Chennai,No Notes,2024,9,24,1,1818.0,2791.0,41460.0,15356.333333333334,35,6437.0
T6960,U003,2024-10-08,Expense,Food,6437.0,Upi,Hyderabad,Books,2024,10,8,1,6002.0,1818.0,2791.0,3537.0,36,4991.0
T9297,U003,2024-10-15,Expense,Food,4991.0,Bank_Transfer,Bangalore,Movie tickets,2024,10,15,1,6437.0,6002.0,1818.0,4752.333333333333,37,7717.0
T13688,U003,2024-12-01,Expense,Food,7717.0,Unknown,Lucknow,ATM withdrawal,2024,12,1,6,4991.0,6437.0,6002.0,5810.0,38,25582.0
T11995,U004,2021-06-27,Expense,Rent,37667.0,Card,Lucknow,Petrol,2021,6,27,6,23537.0,2391.0,2668.0,9532.0,3,8704.0
T10042,U004,2021-08-30,Expense,Utilities,8704.0,Upi,Lucknow,xyz123,2021,8,30,0,37667.0,23537.0,2391.0,21198.333333333332,4,1044.0
T12900,U004,2021-09-17,Expense,Food,1044.0,Upi,Lucknow,Online course,2021,9,17,4,8704.0,37667.0,23537.0,23302.666666666668,5,5795.0
T3782,U004,2021-11-11,Expense,Food,5795.0,Upi,Kolkata,EMI payment,2021,11,11,3,1044.0,8704.0,37667.0,15805.0,6,7667.0
T10147,U004,2022-01-20,Expense,Travel,7667.0,Card,Bangalore,Doctor consultation,2022,1,20,3,5795.0,1044.0,8704.0,5181.0,7,10800.0
T7843,U004,2022-02-04,Expense,Rent,10800.0,Cash,Pune,!!!,2022,2,4,4,7667.0,5795.0,1044.0,4835.333333333333,8,3122.0
T1097,U004,2022-02-21,Expense,Food,3122.0,Upi,Bangalore,Electricity bill,2022,2,21,0,10800.0,7667.0,5795.0,8087.333333333333,9,4005.0
T7009,U004,2022-04-05,Expense,Travel,4005.0,Cash,Jaipur,Fixed deposit,2022,4,5,1,3122.0,10800.0,7667.0,7196.333333333333,10,1783.0
T12292,U004,2022-04-14,Expense,Travel,1783.0,Bank_Transfer,Kolkata,!!!,2022,4,14,3,4005.0,3122.0,10800.0,5975.666666666667,11,5439.0
T13494,U004,2022-05-15,Expense,Food,5439.0,Upi,Bangalore,Petrol,2022,5,15,6,1783.0,4005.0,3122.0,2970.0,12,76282.0
T9263,U004,2022-06-30,Income,Investment,76282.0,Upi,Mumbai,...,2022,6,30,3,5439.0,1783.0,4005.0,3742.3333333333335,13,7668.0
T2063,U004,2022-08-25,Expense,Travel,7668.0,Bank_Transfer,Pune,Monthly rent payment,2022,8,25,3,76282.0,5439.0,1783.0,27834.666666666668,14,1547.0
T5087,U004,2022-10-13,Expense,Travel,1547.0,Bank_Transfer,Lucknow,Shopping,2022,10,13,3,7668.0,76282.0,5439.0,29796.333333333332,15,4890.0
T13653,U004,2022-12-03,Expense,Utilities,4890.0,Unknown,Mumbai,!!!,2022,12,3,5,1547.0,7668.0,76282.0,28499.0,16,4330.0
T11178,U004,2023-02-13,Expense,Travel,4330.0,Bank_Transfer,Ahmedabad,Coffee,2023,2,13,0,4890.0,1547.0,7668.0,4701.666666666667,17,3006.0
T9061,U004,2023-02-14,Expense,Utilities,3006.0,Card,Pune,Lunch,2023,2,14,1,4330.0,4890.0,1547.0,3589.0,18,2759.0
T0703,U004,2023-02-21,Expense,Food,2759.0,Upi,Unknown,Internet bill,2023,2,21,1,3006.0,4330.0,4890.0,4075.3333333333335,19,1765.0
T10247,U004,2023-04-21,Expense,Rent,1765.0,Upi,Delhi,No Notes,2023,4,21,4,2759.0,3006.0,4330.0,3365.0,20,24628.0
T0513,U004,2023-05-03,Expense,Rent,24628.0,Cash,Mumbai,Uber ride,2023,5,3,2,1765.0,2759.0,3006.0,2510.0,21,1034.0
T9806,U004,2023-05-10,Expense,Rent,1034.0,Bank_Transfer,Chennai,Coffee,2023,5,10,2,24628.0,1765.0,2759.0,9717.333333333334,22,76991.0
T8022,U004,2023-08-04,Income,Investment,76991.0,Unknown,Chennai,No Notes,2023,8,4,4,1034.0,24628.0,1765.0,9142.333333333334,23,5649.0
T8773,U004,2023-09-24,Expense,Travel,5649.0,Bank_Transfer,Jaipur,No Notes,2023,9,24,6,76991.0,1034.0,24628.0,34217.666666666664,24,8926.0
T10930,U004,2023-11-02,Expense,Food,8926.0,Bank_Transfer,Bangalore,...,2023,11,2,3,5649.0,76991.0,1034.0,27891.333333333332,25,1794.0
T3720,U004,2023-12-03,Expense,Health,1794.0,Upi,Kolkata,No Notes,2023,12,3,6,8926.0,5649.0,76991.0,30522.0,26,6854.0
T12413,U004,2023-12-06,Expense,Health,6854.0,Upi,Lucknow,!!!,2023,12,6,2,1794.0,8926.0,5649.0,5456.333333333333,27,2970.0
T1167,U004,2023-12-23,Expense,Utilities,2970.0,Upi,Hyderabad,xyz123,2023,12,23,5,6854.0,1794.0,8926.0,5858.0,28,35494.0
T2525,U004,2024-02-21,Income,Bonus,35494.0,Cash,Lucknow,Train ticket,2024,2,21,2,2970.0,6854.0,1794.0,3872.6666666666665,29,4616.0
T11438,U004,2024-03-14,Expense,Food,4616.0,Upi,Delhi,No Notes,2024,3,14,3,35494.0,2970.0,6854.0,15106.0,30,7649.0
T11886,U004,2024-03-21,Expense,Rent,7649.0,Upi,Pune,Movie tickets,2024,3,21,3,4616.0,35494.0,2970.0,14360.0,31,7119.0
T0957,U004,2024-03-31,Expense,Travel,7119.0,Upi,Unknown,Movie tickets,2024,3,31,6,7649.0,4616.0,35494.0,15919.666666666666,32,2511.0
T5155,U004,2024-04-07,Expense,Education,2511.0,Card,Bangalore,Grocery shopping,2024,4,7,6,7119.0,7649.0,4616.0,6461.333333333333,33,4983.0
T4235,U004,2024-04-22,Expense,Rent,4983.0,Upi,Kolkata,Grocery shopping,2024,4,22,0,2511.0,7119.0,7649.0,5759.666666666667,34,709506.0
T2274,U004,2024-05-10,Income,Freelance,709506.0,Card,Jaipur,Grocery shopping,2024,5,10,4,4983.0,2511.0,7119.0,4871.0,35,37025.0
T13078,U004,2024-07-02,Income,Bonus,37025.0,Bank_Transfer,Jaipur,Medicine,2024,7,2,1,709506.0,4983.0,2511.0,239000.0,36,3986.0
T4267,U004,2024-07-06,Expense,Food,3986.0,Upi,Hyderabad,Doctor consultation,2024,7,6,5,37025.0,709506.0,4983.0,250504.66666666666,37,7543.0
T6666,U004,2024-09-05,Expense,Travel,7543.0,Bank_Transfer,Jaipur,misc,2024,9,5,3,3986.0,37025.0,709506.0,250172.33333333334,38,2508.0
T6568,U004,2024-09-25,Expense,Food,2508.0,Card,Jaipur,Restaurant dinner,2024,9,25,2,7543.0,3986.0,37025.0,16184.666666666666,39,4701.0
T12657,U004,2024-10-01,Expense,Travel,4701.0,Cash,Unknown,test,2024,10,1,1,2508.0,7543.0,3986.0,4679.0,40,54771.0
T2744,U004,2024-10-12,Income,Investment,54771.0,Bank_Transfer,Hyderabad,Books,2024,10,12,5,4701.0,2508.0,7543.0,4917.333333333333,41,8765.0
T4412,U004,2024-10-25,Expense,Entertainment,8765.0,Bank_Transfer,Kolkata,Internet bill,2024,10,25,4,54771.0,4701.0,2508.0,20660.0,42,4648.0
T12488,U005,2021-05-18,Expense,Education,3527.0,Cash,Jaipur,Electricity bill,2021,5,18,1,7366.0,7406.0,7762.0,7511.333333333333,3,2374.0
T0319,U005,2021-06-15,Expense,Food,2374.0,Card,Kolkata,asdfgh,2021,6,15,1,3527.0,7366.0,7406.0,6099.666666666667,4,72722.0
T9094,U005,2022-01-22,Income,Salary,72722.0,Upi,Mumbai,misc,2022,1,22,5,2374.0,3527.0,7366.0,4422.333333333333,5,34966.0
T8726,U005,2022-03-08,Income,Investment,34966.0,Upi,Chennai,No Notes,2022,3,8,1,72722.0,2374.0,3527.0,26207.666666666668,6,9852.0
T0640,U005,2022-03-29,Expense,Food,9852.0,Cash,Hyderabad,asdfgh,2022,3,29,1,34966.0,72722.0,2374.0,36687.333333333336,7,7238.0
T9375,U005,2022-05-18,Expense,Food,7238.0,Bank_Transfer,Bangalore,ATM withdrawal,2022,5,18,2,9852.0,34966.0,72722.0,39180.0,8,2059.0
T5264,U005,2022-07-30,Expense,Food,2059.0,Upi,Mumbai,xyz123,2022,7,30,5,7238.0,9852.0,34966.0,17352.0,9,4698.0
T12886,U005,2022-09-03,Expense,Utilities,4698.0,Cash,Jaipur,Monthly rent payment,2022,9,3,5,2059.0,7238.0,9852.0,6383.0,10,8001.0
T10757,U005,2022-11-03,Expense,Travel,8001.0,Upi,Lucknow,Gym membership,2022,11,3,3,4698.0,2059.0,7238.0,4665.0,11,4279.0
T10687,U005,2023-07-18,Expense,Entertainment,4279.0,Card,Mumbai,Uber ride,2023,7,18,1,8001.0,4698.0,2059.0,4919.333333333333,12,9875.0
T7808,U005,2023-08-12,Expense,Travel,9875.0,Upi,Lucknow,Restaurant dinner,2023,8,12,5,4279.0,8001.0,4698.0,5659.333333333333,13,1364.0
T2245,U005,2024-03-31,Expense,Entertainment,1364.0,Bank_Transfer,Hyderabad,Electricity bill,2024,3,31,6,9875.0,4279.0,8001.0,7385.0,14,5749.0
T4798,U005,2024-06-13,Expense,Education,5749.0,Card,Pune,ATM withdrawal,2024,6,13,3,1364.0,9875.0,4279.0,5172.666666666667,15,7263.0
T11661,U005,2024-10-13,Expense,Education,7263.0,Upi,Pune,xyz123,2024,10,13,6,5749.0,1364.0,9875.0,5662.666666666667,16,9998.0
T6435,U005,2024-10-15,Expense,Education,9998.0,Upi,Ahmedabad,Doctor consultation,2024,10,15,1,7263.0,5749.0,1364.0,4792.0,17,1754.0
T12868,U005,2024-11-16,Expense,Entertainment,1754.0,Cash,Lucknow,Petrol,2024,11,16,5,9998.0,7263.0,5749.0,7670.0,18,1861.0
T9305,U006,2021-04-15,Expense,Food,1520.0,Unknown,Ahmedabad,Restaurant dinner,2021,4,15,3,5625.0,4546.0,52179.0,20783.333333333332,3,70160.0
T3596,U006,2021-07-13,Income,Salary,70160.0,Bank_Transfer,Bangalore,Internet bill,2021,7,13,1,1520.0,5625.0,4546.0,3897.0,4,9685.0
T4071,U006,2021-08-21,Expense,Travel,9685.0,Cash,Mumbai,Online course,2021,8,21,5,70160.0,1520.0,5625.0,25768.333333333332,5,2017.0
T0428,U006,2021-10-09,Expense,Food,2017.0,Bank_Transfer,Bangalore,Medicine,2021,10,9,5,9685.0,70160.0,1520.0,27121.666666666668,6,1597.0
T2325,U006,2021-12-03,Expense,Entertainment,1597.0,Bank_Transfer,Hyderabad,No Notes,2021,12,3,4,2017.0,9685.0,70160.0,27287.333333333332,7,79219.0
T1720,U006,2022-06-24,Income,Investment,79219.0,Cash,Bangalore,!!!,2022,6,24,4,1597.0,2017.0,9685.0,4433.0,8,2971.0
T2343,U006,2022-07-03,Expense,Savings,2971.0,Upi,Kolkata,Doctor consultation,2022,7,3,6,79219.0,1597.0,2017.0,27611.0,9,9794.0
T0783,U006,2022-07-12,Expense,Travel,9794.0,Card,Chennai,Internet bill,2022,7,12,1,2971.0,79219.0,1597.0,27929.0,10,50581.0
T6679,U006,2022-07-29,Income,Freelance,50581.0,Upi,Unknown,Internet bill,2022,7,29,4,9794.0,2971.0,79219.0,30661.333333333332,11,7548.0
T4848,U006,2023-01-12,Expense,Travel,7548.0,Card,Pune,Internet bill,2023,1,12,3,50581.0,9794.0,2971.0,21115.333333333332,12,6769.0
T8965,U006,2023-02-04,Expense,Travel,6769.0,Cash,Unknown,...,2023,2,4,5,7548.0,50581.0,9794.0,22641.0,13,5721.0
T4119,U006,2023-02-07,Expense,Entertainment,5721.0,Cash,Unknown,ATM withdrawal,2023,2,7,1,6769.0,7548.0,50581.0,21632.666666666668,14,1121.0
T5862,U006,2023-06-03,Expense,Food,1121.0,Card,Mumbai,No Notes,2023,6,3,5,5721.0,6769.0,7548.0,6679.333333333333,15,8886.0
T10082,U006,2023-08-10,Expense,Entertainment,8886.0,Card,Lucknow,...,2023,8,10,3,1121.0,5721.0,6769.0,4537.0,16,6599.0
T9737,U006,2023-10-05,Expense,Savings,6599.0,Unknown,Kolkata,No Notes,2023,10,5,3,8886.0,1121.0,5721.0,5242.666666666667,17,6471.0
T5985,U006,2023-12-05,Expense,Rent,6471.0,Unknown,Pune,Train ticket,2023,12,5,1,6599.0,8886.0,1121.0,5535.333333333333,18,5789.0
T3131,U006,2023-12-07,Expense,Utilities,5789.0,Bank_Transfer,Delhi,No Notes,2023,12,7,3,6471.0,6599.0,8886.0,7318.666666666667,19,140.0
T8319,U006,2023-12-11,Expense,Utilities,140.0,Upi,Jaipur,misc,2023,12,11,0,5789.0,6471.0,6599.0,6286.333333333333,20,8801.0
T2812,U006,2023-12-12,Expense,Travel,8801.0,Cash,Ahmedabad,!!!,2023,12,12,1,140.0,5789.0,6471.0,4133.333333333333,21,2415.0
