amount,lag_1,lag_2,lag_3,rolling_mean_3,year,month,day,weekday,user_transaction_count
5749.0,1974.0,7880.0,9361.0,6405.0,2023,3,25,5,16
57294.0,5749.0,1974.0,7880.0,5201.0,2023,5,14,6,17
2278.0,57294.0,5749.0,1974.0,21672.333333333332,2023,5,16,1,18
45251.0,2278.0,57294.0,5749.0,21773.666666666668,2023,5,31,2,19
8751.0,45251.0,2278.0,57294.0,34941.0,2023,6,4,6,20
9682.0,8751.0,45251.0,2278.0,18760.0,2023,7,17,0,21
987.0,9682.0,8751.0,45251.0,21228.0,2023,8,12,5,22
41293.0,987.0,9682.0,8751.0,6473.333333333333,2023,9,19,1,23
3397.0,41293.0,987.0,9682.0,17320.666666666668,2024,1,3,2,24
291.0,3397.0,41293.0,987.0,15225.666666666666,2024,3,7,3,25
7693.0,291.0,3397.0,41293.0,14993.666666666666,2024,5,20,0,26
1006.0,7693.0,291.0,3397.0,3793.6666666666665,2024,5,21,1,27
1495.0,1006.0,7693.0,291.0,2996.6666666666665,2024,5,31,4,28
1623.0,1495.0,1006.0,7693.0,3398.0,2024,6,6,3,29
3144.0,1623.0,1495.0,1006.0,1374.6666666666667,2024,6,19,2,30
134.0,3144.0,1623.0,1495.0,2087.3333333333335,2024,7,18,3,31
41460.0,134.0,3144.0,1623.0,1633.6666666666667,2024,8,12,0,32
2791.0,41460.0,134.0,3144.0,14912.666666666666,2024,8,24,5,33
1818.0,2791.0,41460.0,134.0,14795.0,2024,9,17,1,34
6002.0,1818.0,2791.0,41460.0,15356.333333333334,2024,9,24,1,35
6437.0,6002.0,1818.0,2791.0,3537.0,2024,10,8,1,36
4991.0,6437.0,6002.0,1818.0,4752.333333333333,2024,10,15,1,37
7717.0,4991.0,6437.0,6002.0,5810.0,2024,12,1,6,38
37667.0,23537.0,2391.0,2668.0,9532.0,2021,6,27,6,3
8704.0,37667.0,23537.0,2391.0,21198.333333333332,2021,8,30,0,4
1044.0,8704.0,37667.0,23537.0,23302.666666666668,2021,9,17,4,5
5795.0,1044.0,8704.0,37667.0,15805.0,2021,11,11,3,6
7667.0,5795.0,1044.0,8704.0,5181.0,2022,1,20,3,7
10800.0,7667.0,5795.0,1044.0,4835.333333333333,2022,2,4,4,8
3122.0,10800.0,7667.0,5795.0,8087.333333333333,2022,2,21,0,9
4005.0,3122.0,10800.0,7667.0,7196.333333333333,2022,4,5,1,10
1783.0,4005.0,3122.0,10800.0,5975.666666666667,2022,4,14,3,11
5439.0,1783.0,4005.0,3122.0,2970.0,2022,5,15,6,12
76282.0,5439.0,1783.0,4005.0,3742.3333333333335,2022,6,30,3,13
7668.0,76282.0,5439.0,1783.0,27834.666666666668,2022,8,25,3,14
1547.0,7668.0,76282.0,5439.0,29796.333333333332,2022,10,13,3,15
4890.0,1547.0,7668.0,76282.0,28499.0,2022,12,3,5,16
4330.0,4890.0,1547.0,7668.0,4701.666666666667,2023,2,13,0,17
3006.0,4330.0,4890.0,1547.0,3589.0,2023,2,14,1,18
2759.0,3006.0,4330.0,4890.0,4075.3333333333335,2023,2,21,1,19
1765.0,2759.0,3006.0,4330.0,3365.0,2023,4,21,4,20
24628.0,1765.0,2759.0,3006.0,2510.0,2023,5,3,2,21
1034.0,24628.0,1765.0,2759.0,9717.333333333334,2023,5,10,2,22
76991.0,1034.0,24628.0,1765.0,9142.333333333334,2023,8,4,4,23
5649.0,76991.0,1034.0,24628.0,34217.666666666664,2023,9,24,6,24
8926.0,5649.0,76991.0,1034.0,27891.333333333332,2023,11,2,3,25
1794.0,8926.0,5649.0,76991.0,30522.0,2023,12,3,6,26
6854.0,1794.0,8926.0,5649.0,5456.333333333333,2023,12,6,2,27
2970.0,6854.0,1794.0,8926.0,5858.0,2023,12,23,5,28
35494.0,2970.0,6854.0,1794.0,3872.6666666666665,2024,2,21,2,29
4616.0,35494.0,2970.0,6854.0,15106.0,2024,3,14,3,30
7649.0,4616.0,35494.0,2970.0,14360.0,2024,3,21,3,31
7119.0,7649.0,4616.0,35494.0,15919.666666666666,2024,3,31,6,32
2511.0,7119.0,7649.0,4616.0,6461.333333333333,2024,4,7,6,33
4983.0,2511.0,7119.0,7649.0,5759.666666666667,2024,4,22,0,34
709506.0,4983.0,2511.0,7119.0,4871.0,2024,5,10,4,35
37025.0,709506.0,4983.0,2511.0,239000.0,2024,7,2,1,36
3986.0,37025.0,709506.0,4983.0,250504.66666666666,2024,7,6,5,37
7543.0,3986.0,37025.0,709506.0,250172.33333333334,2024,9,5,3,38
2508.0,7543.0,3986.0,37025.0,16184.666666666666,2024,9,25,2,39
4701.0,2508.0,7543.0,3986.0,4679.0,2024,10,1,1,40
54771.0,4701.0,2508.0,7543.0,4917.333333333333,2024,10,12,5,41
8765.0,54771.0,4701.0,2508.0,20660.0,2024,10,25,4,42
3527.0,7366.0,7406.0,7762.0,7511.333333333333,2021,5,18,1,3
2374.0,3527.0,7366.0,7406.0,6099.666666666667,2021,6,15,1,4
72722.0,2374.0,3527.0,7366.0,4422.333333333333,2022,1,22,5,5
34966.0,72722.0,2374.0,3527.0,26207.666666666668,2022,3,8,1,6
9852.0,34966.0,72722.0,2374.0,36687.333333333336,2022,3,29,1,7
7238.0,9852.0,34966.0,72722.0,39180.0,2022,5,18,2,8
2059.0,7238.0,9852.0,34966.0,17352.0,2022,7,30,5,9
4698.0,2059.0,7238.0,9852.0,6383.0,2022,9,3,5,10
8001.0,4698.0,2059.0,7238.0,4665.0,2022,11,3,3,11
4279.0,8001.0,4698.0,2059.0,4919.333333333333,2023,7,18,1,12
9875.0,4279.0,8001.0,4698.0,5659.333333333333,2023,8,12,5,13
1364.0,9875.0,4279.0,8001.0,7385.0,2024,3,31,6,14
5749.0,1364.0,9875.0,4279.0,5172.666666666667,2024,6,13,3,15
7263.0,5749.0,1364.0,9875.0,5662.666666666667,2024,10,13,6,16
9998.0,7263.0,5749.0,1364.0,4792.0,2024,10,15,1,17
1754.0,9998.0,7263.0,5749.0,7670.0,2024,11,16,5,18
1520.0,5625.0,4546.0,52179.0,20783.333333333332,2021,4,15,3,3
70160.0,1520.0,5625.0,4546.0,3897.0,2021,7,13,1,4
9685.0,70160.0,1520.0,5625.0,25768.333333333332,2021,8,21,5,5
2017.0,9685.0,70160.0,1520.0,27121.666666666668,2021,10,9,5,6
1597.0,2017.0,9685.0,70160.0,27287.333333333332,2021,12,3,4,7
79219.0,1597.0,2017.0,9685.0,4433.0,2022,6,24,4,8
2971.0,79219.0,1597.0,2017.0,27611.0,2022,7,3,6,9
9794.0,2971.0,79219.0,1597.0,27929.0,2022,7,12,1,10
50581.0,9794.0,2971.0,79219.0,30661.333333333332,2022,7,29,4,11
7548.0,50581.0,9794.0,2971.0,21115.333333333332,2023,1,12,3,12
6769.0,7548.0,50581.0,9794.0,22641.0,2023,2,4,5,13
5721.0,6769.0,7548.0,50581.0,21632.666666666668,2023,2,7,1,14
1121.0,5721.0,6769.0,7548.0,6679.333333333333,2023,6,3,5,15
8886.0,1121.0,5721.0,6769.0,4537.0,2023,8,10,3,16
6599.0,8886.0,1121.0,5721.0,5242.666666666667,2023,10,5,3,17
6471.0,6599.0,8886.0,1121.0,5535.333333333333,2023,12,5,1,18
5789.0,6471.0,6599.0,8886.0,7318.666666666667,2023,12,7,3,19
140.0,5789.0,6471.0,6599.0,6286.333333333333,2023,12,11,0,20
8801.0,140.0,5789.0,6471.0,4133.333333333333,2023,12,12,1,21
2415.0,8801.0,140.0,5789.0,4910.0,2024,1,7,6,22
35496.0,2415.0,8801.0,140.0,3785.3333333333335,2024,1,8,0,23
32666.0,35496.0,2415.0,8801.0,15570.666666666666,2024,3,30,5,24
2965.0,32666.0,35496.0,2415.0,23525.666666666668,2024,4,3,2,25
50616.0,2965.0,32666.0,35496.0,23709.0,2024,5,3,4,26
7495.0,50616.0,2965.0,32666.0,28749.0,2024,5,12,6,27
2104.0,7495.0,50616.0,2965.0,20358.666666666668,2024,5,14,1,28
1531.0,2104.0,7495.0,50616.0,20071.666666666668,2024,5,27,0,29
7040.0,1531.0,2104.0,7495.0,3710.0,2024,5,29,2,30
69207.0,7040.0,1531.0,2104.0,3558.3333333333335,2024,7,5,4,31
7394.0,69207.0,7040.0,1531.0,25926.0,2024,7,16,1,32
11115.0,7394.0,69207.0,7040.0,27880.333333333332,2024,8,3,5,33
3791.0,11115.0,7394.0,69207.0,29238.666666666668,2024,8,13,1,34
1077.0,3791.0,11115.0,7394.0,7433.333333333333,2024,8,25,6,35
4020.0,1077.0,3791.0,11115.0,5327.666666666667,2024,9,1,6,36
28847.0,4020.0,1077.0,3791.0,2962.6666666666665,2024,9,23,0,37
6823.0,28847.0,4020.0,1077.0,11314.666666666666,2024,9,28,5,38
6696.0,6004.0,3219.0,6664.0,5295.666666666667,2021,7,21,2,3
5005.0,6696.0,6004.0,3219.0,5306.333333333333,2021,8,16,0,4
40706.0,5005.0,6696.0,6004.0,5901.666666666667,2021,10,1,4,5
224.0,40706.0,5005.0,6696.0,17469.0,2021,12,16,3,6
2493.0,224.0,40706.0,5005.0,15311.666666666666,2022,1,2,6,7
711.0,2493.0,224.0,40706.0,14474.333333333334,2022,1,11,1,8
54309.0,711.0,2493.0,224.0,1142.6666666666667,2022,2,28,0,9
1380.0,54309.0,711.0,2493.0,19171.0,2022,4,23,5,10
32651.0,1380.0,54309.0,711.0,18800.0,2022,5,17,1,11
7222.0,32651.0,1380.0,54309.0,29446.666666666668,2022,6,3,4,12
4042.0,7222.0,32651.0,1380.0,13751.0,2022,10,13,3,13
8832.0,4042.0,7222.0,32651.0,14638.333333333334,2022,11,4,4,14
100.0,8832.0,4042.0,7222.0,6698.666666666667,2022,11,6,6,15
2788.0,100.0,8832.0,4042.0,4324.666666666667,2022,11,20,6,16
4873.0,2788.0,100.0,8832.0,3906.6666666666665,2022,12,1,3,17
9871.0,4873.0,2788.0,100.0,2587.0,2022,12,25,6,18
36864.0,9871.0,4873.0,2788.0,5844.0,2023,5,31,2,19
63888.0,36864.0,9871.0,4873.0,17202.666666666668,2023,6,8,3,20
63645.0,63888.0,36864.0,9871.0,36874.333333333336,2023,8,10,3,21
31837.0,63645.0,63888.0,36864.0,54799.0,2023,8,24,3,22
1491.0,31837.0,63645.0,63888.0,53123.333333333336,2023,9,7,3,23
978324.0,1491.0,31837.0,63645.0,32324.333333333332,2023,9,24,6,24
3307.0,978324.0,1491.0,31837.0,337217.3333333333,2024,1,22,0,25
2061.0,3307.0,978324.0,1491.0,327707.3333333333,2024,2,20,1,26
9916.0,2061.0,3307.0,978324.0,327897.3333333333,2024,5,31,4,27
982.0,9916.0,2061.0,3307.0,5094.666666666667,2024,6,24,0,28
4861.0,982.0,9916.0,2061.0,4319.666666666667,2024,8,20,1,29
59046.0,4861.0,982.0,9916.0,5253.0,2024,9,16,0,30
3826.0,59046.0,4861.0,982.0,21629.666666666668,2024,10,2,2,31
4973.0,3826.0,59046.0,4861.0,22577.666666666668,2024,10,19,5,32
1709.0,4973.0,3826.0,59046.0,22615.0,2024,12,17,1,33
47094.0,1222.0,8813.0,4013.0,4682.666666666667,2022,2,7,0,3
26749.0,47094.0,1222.0,8813.0,19043.0,2022,4,17,6,4
74525.0,26749.0,47094.0,1222.0,25021.666666666668,2022,5,20,4,5
59047.0,74525.0,26749.0,47094.0,49456.0,2022,8,22,0,6
1060.0,59047.0,74525.0,26749.0,53440.333333333336,2022,9,5,0,7
4320.0,1060.0,59047.0,74525.0,44877.333333333336,2022,10,8,5,8
49835.0,4320.0,1060.0,59047.0,21475.666666666668,2022,11,27,6,9
5138.0,49835.0,4320.0,1060.0,18405.0,2023,2,26,6,10
36978.0,5138.0,49835.0,4320.0,19764.333333333332,2023,3,1,2,11
3989.0,36978.0,5138.0,49835.0,30650.333333333332,2023,3,11,5,12
8630.0,3989.0,36978.0,5138.0,15368.333333333334,2023,4,7,4,13
55241.0,8630.0,3989.0,36978.0,16532.333333333332,2023,4,11,1,14
12856.0,55241.0,8630.0,3989.0,22620.0,2023,4,27,3,15
23603.0,12856.0,55241.0,8630.0,25575.666666666668,2023,6,27,1,16
8876.0,23603.0,12856.0,55241.0,30566.666666666668,2023,6,30,4,17
6978.0,8876.0,23603.0,12856.0,15111.666666666666,2023,7,19,2,18
6281.0,6978.0,8876.0,23603.0,13152.333333333334,2023,8,5,5,19
15177.0,6281.0,6978.0,8876.0,7378.333333333333,2023,10,2,0,20
2264.0,15177.0,6281.0,6978.0,9478.666666666666,2023,11,28,1,21
2814.0,2264.0,15177.0,6281.0,7907.333333333333,2024,2,11,6,22
25841.0,2814.0,2264.0,15177.0,6751.666666666667,2024,3,1,4,23
7929.0,25841.0,2814.0,2264.0,10306.333333333334,2024,3,8,4,24
10183.0,7929.0,25841.0,2814.0,12194.666666666666,2024,6,27,3,25
2092.0,10183.0,7929.0,25841.0,14651.0,2024,6,30,6,26
9264.0,2092.0,10183.0,7929.0,6734.666666666667,2024,9,27,4,27
7966.0,9264.0,2092.0,10183.0,7179.666666666667,2024,10,3,3,28
40318.0,5934.0,5519.0,4085.0,5179.333333333333,2021,6,9,2,3
3209.0,40318.0,5934.0,5519.0,17257.0,2021,7,11,6,4
6831.0,3209.0,40318.0,5934.0,16487.0,2021,8,24,1,5
8444.0,6831.0,3209.0,40318.0,16786.0,2021,12,18,5,6
60202.0,8444.0,6831.0,3209.0,6161.333333333333,2022,3,23,2,7
1745.0,60202.0,8444.0,6831.0,25159.0,2022,3,30,2,8
40813.0,1745.0,60202.0,8444.0,23463.666666666668,2022,7,19,1,9
6325.0,40813.0,1745.0,60202.0,34253.333333333336,2022,8,17,2,10
597.0,6325.0,40813.0,1745.0,16294.333333333334,2022,9,11,6,11
5237.0,597.0,6325.0,40813.0,15911.666666666666,2022,9,24,5,12
1193.0,5237.0,597.0,6325.0,4053.0,2022,9,27,1,13
1687.0,1193.0,5237.0,597.0,2342.3333333333335,2022,10,1,5,14
22632.0,1687.0,1193.0,5237.0,2705.6666666666665,2022,12,29,3,15
3838.0,22632.0,1687.0,1193.0,8504.0,2023,1,19,3,16
4039.0,3838.0,22632.0,1687.0,9385.666666666666,2023,1,30,0,17
8382.0,4039.0,3838.0,22632.0,10169.666666666666,2023,2,15,2,18
48330.0,8382.0,4039.0,3838.0,5419.666666666667,2023,4,15,5,19
2800.0,48330.0,8382.0,4039.0,20250.333333333332,2023,4,25,1,20
7768.0,2800.0,48330.0,8382.0,19837.333333333332,2023,4,28,4,21
6358.0,7768.0,2800.0,48330.0,19632.666666666668,2023,5,10,2,22
67808.0,6358.0,7768.0,2800.0,5642.0,2023,6,5,0,23
145.0,67808.0,6358.0,7768.0,27311.333333333332,2023,6,9,4,24
35465.0,145.0,67808.0,6358.0,24770.333333333332,2023,6,27,1,25
1751.0,35465.0,145.0,67808.0,34472.666666666664,2023,7,2,6,26
13682.0,1751.0,35465.0,145.0,12453.666666666666,2023,7,3,0,27
41429.0,13682.0,1751.0,35465.0,16966.0,2023,9,30,5,28
7602.0,41429.0,13682.0,1751.0,18954.0,2023,10,1,6,29
3790.0,7602.0,41429.0,13682.0,20904.333333333332,2023,12,7,3,30
7945.0,3790.0,7602.0,41429.0,17607.0,2023,12,9,5,31
5425.0,7945.0,3790.0,7602.0,6445.666666666667,2024,1,31,2,32
3700.0,5425.0,7945.0,3790.0,5720.0,2024,4,6,5,33
2721.0,3700.0,5425.0,7945.0,5690.0,2024,5,13,0,34
1680.0,2721.0,3700.0,5425.0,3948.6666666666665,2024,6,30,6,35
1846.0,1680.0,2721.0,3700.0,2700.3333333333335,2024,7,30,1,36
6031.0,1846.0,1680.0,2721.0,2082.3333333333335,2024,8,16,4,37
5534.0,6031.0,1846.0,1680.0,3185.6666666666665,2024,11,11,0,38
2166.0,5534.0,6031.0,1846.0,4470.333333333333,2024,11,24,6,39
7801.0,2166.0,5534.0,6031.0,4577.0,2024,11,28,3,40
7937.0,7801.0,2166.0,5534.0,5167.0,2024,12,30,0,41
5002.0,2758.0,63910.0,27805.0,31491.0,2021,8,14,5,3
48888.0,5002.0,2758.0,63910.0,23890.0,2021,8,18,2,4
5811.0,48888.0,5002.0,2758.0,18882.666666666668,2021,9,12,6,5
329642.0,5811.0,48888.0,5002.0,19900.333333333332,2021,9,29,2,6
48000.0,329642.0,5811.0,48888.0,128113.66666666667,2022,4,22,4,7
4960.0,48000.0,329642.0,5811.0,127817.66666666667,2022,7,12,1,8
791.0,4960.0,48000.0,329642.0,127534.0,2022,7,13,2,9
8250.0,791.0,4960.0,48000.0,17917.0,2022,8,28,6,10
6772.0,8250.0,791.0,4960.0,4667.0,2022,9,22,3,11
5470.0,6772.0,8250.0,791.0,5271.0,2023,1,16,0,12
8132.0,5470.0,6772.0,8250.0,6830.666666666667,2023,1,26,3,13
365282.0,8132.0,5470.0,6772.0,6791.333333333333,2023,5,12,4,14
6607.0,365282.0,8132.0,5470.0,126294.66666666667,2023,6,2,4,15
324.0,6607.0,365282.0,8132.0,126673.66666666667,2023,6,4,6,16
35688.0,324.0,6607.0,365282.0,124071.0,2023,6,23,4,17
48313.0,35688.0,324.0,6607.0,14206.333333333334,2023,7,1,5,18
1996.0,48313.0,35688.0,324.0,28108.333333333332,2023,8,7,0,19
6882.0,1996.0,48313.0,35688.0,28665.666666666668,2023,9,14,3,20
4836.0,6882.0,1996.0,48313.0,19063.666666666668,2023,9,27,2,21
555.0,4836.0,6882.0,1996.0,4571.333333333333,2023,10,30,0,22
24749.0,555.0,4836.0,6882.0,4091.0,2023,11,18,5,23
1426.0,24749.0,555.0,4836.0,10046.666666666666,2024,1,3,2,24
2704.0,1426.0,24749.0,555.0,8910.0,2024,4,23,1,25
8293.0,2704.0,1426.0,24749.0,9626.333333333334,2024,5,12,6,26
4380.0,8293.0,2704.0,1426.0,4141.0,2024,6,20,3,27
49647.0,4380.0,8293.0,2704.0,5125.666666666667,2024,6,26,2,28
1566.0,49647.0,4380.0,8293.0,20773.333333333332,2024,7,15,0,29
211.0,1566.0,49647.0,4380.0,18531.0,2024,8,4,6,30
57012.0,211.0,1566.0,49647.0,17141.333333333332,2024,8,23,4,31
11027.0,57012.0,211.0,1566.0,19596.333333333332,2024,9,1,6,32
540.0,11027.0,57012.0,211.0,22750.0,2024,9,13,4,33
4995.0,995.0,6658.0,59567.0,22406.666666666668,2021,2,24,2,3
7316.0,4995.0,995.0,6658.0,4216.0,2021,3,18,3,4
9386.0,7316.0,4995.0,995.0,4435.333333333333,2021,4,19,0,5
4890.0,9386.0,7316.0,4995.0,7232.333333333333,2021,4,19,0,6
7037.0,4890.0,9386.0,7316.0,7197.333333333333,2021,5,26,2,7
8223.0,7037.0,4890.0,9386.0,7104.333333333333,2021,8,26,3,8
1397.0,8223.0,7037.0,4890.0,6716.666666666667,2021,11,13,5,9
13042.0,1397.0,8223.0,7037.0,5552.333333333333,2022,1,26,2,10
9207.0,13042.0,1397.0,8223.0,7554.0,2022,2,9,2,11
1844.0,9207.0,13042.0,1397.0,7882.0,2022,3,22,1,12
59348.0,1844.0,9207.0,13042.0,8031.0,2022,4,18,0,13
1587.0,59348.0,1844.0,9207.0,23466.333333333332,2022,5,2,0,14
3566.0,1587.0,59348.0,1844.0,20926.333333333332,2022,6,4,5,15
12344.0,3566.0,1587.0,59348.0,21500.333333333332,2022,9,30,4,16
5720.0,12344.0,3566.0,1587.0,5832.333333333333,2022,10,7,4,17
8149.0,5720.0,12344.0,3566.0,7210.0,2022,10,28,4,18
9416.0,8149.0,5720.0,12344.0,8737.666666666666,2022,11,4,4,19
79544.0,9416.0,8149.0,5720.0,7761.666666666667,2022,11,16,2,20
6313.0,79544.0,9416.0,8149.0,32369.666666666668,2022,12,21,2,21
67211.0,6313.0,79544.0,9416.0,31757.666666666668,2023,1,17,1,22
293.0,67211.0,6313.0,79544.0,51022.666666666664,2023,4,9,6,23
9289.0,293.0,67211.0,6313.0,24605.666666666668,2023,5,15,0,24
6907.0,9289.0,293.0,67211.0,25597.666666666668,2023,6,22,3,25
9767.0,6907.0,9289.0,293.0,5496.333333333333,2023,8,29,1,26
4311.0,9767.0,6907.0,9289.0,8654.333333333334,2023,10,7,5,27
11610.0,4311.0,9767.0,6907.0,6995.0,2023,10,26,3,28
1199.0,11610.0,4311.0,9767.0,8562.666666666666,2023,11,18,5,29
5284.0,1199.0,11610.0,4311.0,5706.666666666667,2023,11,28,1,30
9034.0,5284.0,1199.0,11610.0,6031.0,2024,1,17,2,31
6536.0,9034.0,5284.0,1199.0,5172.333333333333,2024,3,2,5,32
8617.0,6536.0,9034.0,5284.0,6951.333333333333,2024,3,9,5,33
8255.0,8617.0,6536.0,9034.0,8062.333333333333,2024,3,31,6,34
48387.0,8255.0,8617.0,6536.0,7802.666666666667,2024,4,16,1,35
1588.0,48387.0,8255.0,8617.0,21753.0,2024,4,19,4,36
4811.0,1588.0,48387.0,8255.0,19410.0,2024,7,31,2,37
30889.0,4811.0,1588.0,48387.0,18262.0,2024,8,12,0,38
23463.0,30889.0,4811.0,1588.0,12429.333333333334,2024,8,21,2,39
327.0,23463.0,30889.0,4811.0,19721.0,2024,9,24,1,40
2728.0,327.0,23463.0,30889.0,18226.333333333332,2024,11,8,4,41
79605.0,40590.0,30717.0,5056.0,25454.333333333332,2021,5,24,0,3
824.0,79605.0,40590.0,30717.0,50304.0,2021,6,26,5,4
1504.0,824.0,79605.0,40590.0,40339.666666666664,2021,7,22,3,5
3820.0,1504.0,824.0,79605.0,27311.0,2021,7,28,2,6
2114.0,3820.0,1504.0,824.0,2049.3333333333335,2021,9,11,5,7
8301.0,2114.0,3820.0,1504.0,2479.3333333333335,2022,2,27,6,8
8897.0,8301.0,2114.0,3820.0,4745.0,2022,4,14,3,9
8928.0,8897.0,8301.0,2114.0,6437.333333333333,2022,4,24,6,10
17856.0,8928.0,8897.0,8301.0,8708.666666666666,2022,5,6,4,11
78356.0,17856.0,8928.0,8897.0,11893.666666666666,2022,5,23,0,12
20067.0,78356.0,17856.0,8928.0,35046.666666666664,2022,8,3,2,13
3512.0,20067.0,78356.0,17856.0,38759.666666666664,2022,9,23,4,14
1130.0,3512.0,20067.0,78356.0,33978.333333333336,2023,1,27,4,15
1675.0,1130.0,3512.0,20067.0,8236.333333333334,2023,4,10,0,16
